Name,player,CF% rel,FF% rel,TK,GV,E+/-
Cody Glass\\glassco01,Cody Glass,-2.1,-3.2,18,17,-0.3
Luke Glendening\\glendlu01,Luke Glendening,-5.2,-3.8,10,18,-12.4
Nikolay Goldobin\\goldoni01,Nikolay Goldobin,-32.6,-31.4,0,0,-0.5
Alex Goligoski\\goligal01,Alex Goligoski,0.1,0.4,7,53,-2
Cody Goloubef\\golouco01,Cody Goloubef,-4.9,-5,3,21,-3.6
Barclay Goodrow\\goodrba01,Barclay Goodrow,1.3,2,44,23,-1.7
Shayne Gostisbehere\\gostish01,Shayne Gostisbehere,0.8,1.1,9,27,-2.3
Yanni Gourde\\gourdya01,Yanni Gourde,1.4,0.8,48,14,2.2
Michael Grabner\\grabnmi01,Michael Grabner,-8.3,-7,31,11,-3.1
Markus Granlund\\granlma01,Markus Granlund,2,2,11,7,0.5
Mikael Granlund\\granlmi01,Mikael Granlund,2.5,2.5,24,34,3.4
Derek Grant\\grantde01,Derek Grant,-9.1,-8.5,20,11,-6
Tyler Graovac\\graovty01,Tyler Graovac,-0.2,-4.4,1,2,-0.9
Kevin Gravel\\graveke01,Kevin Gravel,-7.5,-5.8,0,1,0.2
Ryan Graves\\gravery01,Ryan Graves,-1,-0.4,19,40,4.2
Mike Green\\greenmi03,Mike Green,-0.1,0.9,12,41,2.2
Andy Greene\\greenan01,Andy Greene,-3.8,-3.1,16,41,-6.5
Jordan Greenway\\greenjo02,Jordan Greenway,2.1,2.4,41,30,7
Noah Gregor\\gregono01,Noah Gregor,-4.3,-7.1,6,7,-4.1
Rocco Grimaldi\\grimaro01,Rocco Grimaldi,1.4,1.7,27,20,3.6
Jordan Gross\\grossjo01,Jordan Gross,-16.1,-20.3,1,2,-1.2
Carl Grundstrom\\grundca01,Carl Grundstrom,1.5,1.8,0,4,-0.7
Matt Grzelcyk\\grzelma01,Matt Grzelcyk,1.8,3.7,22,39,7.7
Radko Gudas\\gudasra01,Radko Gudas,-1.2,-2.3,23,34,-2.3
Erik Gudbranson\\gudbrer01,Erik Gudbranson,0.8,1.6,0,33,-4.5
Jake Guentzel\\guentja01,Jake Guentzel,5.2,7.6,21,12,14.1
Brendan Guhle\\guhlebr01,Brendan Guhle,-3.6,-2.4,6,25,-2.6
Carl Gunnarsson\\gunnaca01,Carl Gunnarsson,-3.6,-3.9,3,14,-2.1
Denis Gurianov\\guriade01,Denis Gurianov,0.1,0.9,26,25,2.9
Nikita Gusev\\gusevni01,Nikita Gusev,4.2,3.7,22,40,-3.6
David Gustafsson\\gustada01,David Gustafsson,-20.2,-19.3,0,1,-4.4
Erik Gustafsson\\gustaer02,Erik Gustafsson,0,-1,21,58,-7.3
Gaetan Haas\\haasga01,Gaetan Haas,1.1,1.1,22,22,0.1
Brandon Hagel\\hagelbr01,Brandon Hagel,-2.3,-6.6,1,0,0.3
Carl Hagelin\\hagelca01,Carl Hagelin,2.2,1.6,24,24,-2.8
Robert Hagg\\haggro01,Robert Hagg,-8.8,-7.8,6,31,-4.9
Nicolas Hague\\hagueni01,Nicolas Hague,2.9,0.8,13,10,5.3
Ron Hainsey\\hainsro01,Ron Hainsey,-2.1,-2.7,9,56,-5.8
Libor Hajek\\hajekli01,Libor Hajek,-7,-6.1,8,17,-8.6
Jani Hakanpaa\\hakanja01,Jani Hakanpaa,4.3,2.3,0,1,-0.9
Micheal Haley\\haleymi01,Micheal Haley,-8.6,-6.5,1,5,-1.8
Taylor Hall\\hallta02,Taylor Hall,1.5,1.2,41,52,4.9
Dan Hamhuis\\hamhuda01,Dan Hamhuis,-0.8,0.1,9,34,-4.5
Dougie Hamilton\\hamildo01,Dougie Hamilton,4.5,6,22,40,12
Travis Hamonic\\hamontr01,Travis Hamonic,-2.4,-3,21,36,-4.4
Noah Hanifin\\hanifno01,Noah Hanifin,0.6,-0.9,38,63,-0.6
Joel Hanley\\hanlejo01,Joel Hanley,-2.4,-1.8,0,5,1.2
Jansen Harkins\\harkija01,Jansen Harkins,-1.1,-2.3,7,7,-4.3
Scott Harrington\\harrisc01,Scott Harrington,-2.4,-1.2,5,9,0.3
Ryan Hartman\\hartmry01,Ryan Hartman,3.5,3.9,34,14,7
Garnet Hathaway\\hathaga01,Garnet Hathaway,1.4,1.9,21,16,7
Erik Haula\\haulaer01,Erik Haula,-3.7,-2.2,21,29,-3.8
Jayce Hawryluk\\hawryja01,Jayce Hawryluk,1.5,1,11,12,1.5
John Hayden\\haydejo01,John Hayden,-10.1,-11.2,13,7,-5.7
Kevin Hayes\\hayeske01,Kevin Hayes,-1.9,-2.3,43,34,-1.4
Barrett Hayton\\haytoba01,Barrett Hayton,-0.5,-2,8,4,-1.3
Victor Hedman\\hedmavi01,Victor Hedman,0.7,2.1,47,40,6.1
Tim Heed\\heedti01,Tim Heed,5.1,4.9,10,17,1.8
Danton Heinen\\heineda01,Danton Heinen,-3.2,-4.2,19,30,-2
Ville Heinola\\heinovi01,Ville Heinola,-0.9,-1.9,3,15,-1.8
Miro Heiskanen\\heiskmi01,Miro Heiskanen,2,2,42,79,5.9
Darren Helm\\helmda01,Darren Helm,2,2.5,24,30,-4.2
Adam Henrique\\henriad01,Adam Henrique,5.5,4.6,26,32,-0.5
Tomas Hertl\\hertlto01,Tomas Hertl,4,3.7,25,18,2
Joe Hicketts\\hickejo01,Joe Hicketts,-3.9,-0.5,2,3,-0.2
Matthew Highmore\\highmma01,Matthew Highmore,-2.4,-4.8,15,9,-3.7
Vinnie Hinostroza\\hinosvi01,Vinnie Hinostroza,1.3,0.2,30,20,-2.8
Roope Hintz\\hintzro01,Roope Hintz,0.1,0,23,34,2.6
Taro Hirose\\hirosta01,Taro Hirose,-3.6,-2.6,6,20,-5.2
Nico Hischier\\hischni01,Nico Hischier,0.5,1.3,42,28,-3.8
Niklas Hjalmarsson\\hjalmni01,Niklas Hjalmarsson,-6,-4.9,11,20,-4.7
Mike Hoffman\\hoffmmi02,Mike Hoffman,2.8,0.9,31,52,-3.6
Nick Holden\\holdeni01,Nick Holden,1.9,1.4,26,35,16.1
Justin Holl\\hollju01,Justin Holl,-1,1.3,21,59,6.2
Korbinian Holzer\\holzeko01,Korbinian Holzer,-8.5,-8.2,2,28,-9.7
Patric Hornqvist\\hornqpa01,Patric Hornqvist,-2.4,-1.3,12,8,-0.3
Bo Horvat\\horvabo01,Bo Horvat,1.9,1.3,28,27,-2.5
Brett Howden\\howdebr01,Brett Howden,-7.8,-8.5,25,25,-10.1
Filip Hronek\\hronefi01,Filip Hronek,1.6,0.6,18,76,-12.3
Jonathan Huberdeau\\huberjo01,Jonathan Huberdeau,2.7,2,42,70,0.4
Charles Hudon\\hudonch01,Charles Hudon,-6.1,-6.1,5,2,-1.4
Cameron Hughes\\hugheca01,Cameron Hughes,-5.2,10.6,0,0,-0.1
Jack Hughes\\hugheja03,Jack Hughes,1.1,0.3,42,53,-4
Quinn Hughes\\hughequ01,Quinn Hughes,7.1,5.6,35,60,0.4
Brad Hunt\\huntbr01,Brad Hunt,0.7,1.8,15,14,3.8
Dryden Hunt\\huntdr01,Dryden Hunt,-1.4,0.6,4,4,0.6
Ben Hutton\\huttobe01,Ben Hutton,3.6,3,12,41,6.6
Zach Hyman\\hymanza01,Zach Hyman,1.9,2.3,32,16,7.7
Alex Iafallo\\iafalal01,Alex Iafallo,-1.8,-1.3,18,11,-1.3
Matt Irwin\\irwinma01,Matt Irwin,-2.2,-1,8,13,-5.7
Joshua Jacobs\\jacobjo01,Joshua Jacobs,-6.8,-3.1,1,0,0
Mark Jankowski\\jankoma01,Mark Jankowski,-3.6,-3.4,32,20,-3.5
Mattias Janmark\\janmama02,Mattias Janmark,1,1.9,27,31,4
Calle Jarnkrok\\jarnkca01,Calle Jarnkrok,0.7,0,19,11,-4.3
Christian Jaros\\jarosch01,Christian Jaros,-2.6,-3.6,1,5,-1
Boone Jenner\\jennebo01,Boone Jenner,-3,-2.8,24,28,-0.7
Nick Jensen\\jenseni02,Nick Jensen,-1.7,-1.8,26,48,-0.4
Ryan Johansen\\johanry01,Ryan Johansen,1.2,0.2,38,24,-5.1
Marcus Johansson\\johanma03,Marcus Johansson,-0.4,-0.7,15,24,-1
Stephen Johns\\johnsst03,Stephen Johns,-0.7,-2,5,11,-1.6
Adam Johnson\\johnsad01,Adam Johnson,-3.9,-3.8,1,1,0.8
Erik Johnson\\johnser01,Erik Johnson,-2.5,-3.5,32,27,-1.8
Jack Johnson\\johnsja02,Jack Johnson,-6.5,-8.6,15,23,-11
Luke Johnson\\johnslu01,Luke Johnson,-13.5,-12.1,0,0,-1.3
Tyler Johnson\\johnsty01,Tyler Johnson,-0.8,-0.4,14,20,4.4
Andreas Johnsson\\johnsan01,Andreas Johnsson,-0.5,-1.6,13,20,3.9
Ross Johnston\\johnsro02,Ross Johnston,-5.3,-5.7,2,4,-1.7
Henri Jokiharju\\jokihhe01,Henri Jokiharju,0.8,1.3,7,30,-1.5
Caleb Jones\\jonesca01,Caleb Jones,2.1,1,8,26,-1.2
Max Jones\\jonesma03,Max Jones,3.3,1.9,19,32,-2.4
Seth Jones\\jonesse01,Seth Jones,1.7,0.2,29,37,2.3
Mathieu Joseph\\josepma01,Mathieu Joseph,-1.5,-1.9,17,12,0.6
Roman Josi\\josiro01,Roman Josi,3.2,3,34,68,7.5
Tyson Jost\\jostty01,Tyson Jost,-0.1,-0.6,17,12,5.2
Tomas Jurco\\jurcoto01,Tomas Jurco,1.7,2.1,6,2,-0.3
Nazem Kadri\\kadrina01,Nazem Kadri,0,-1.1,21,28,1.6
Dominik Kahun\\kahundo01,Dominik Kahun,-1.6,-2,18,9,0.4
Kaapo Kakko\\kakkoka01,Kaapo Kakko,-3.2,-5.9,35,21,-9.8
Vladislav Kamenev\\kamenvl01,Vladislav Kamenev,-2.7,-2.6,18,7,-1.1
David Kampf\\kampfda01,David Kampf,-1.7,-0.8,37,17,-6.6
Steven Kampfer\\kampfst01,Steven Kampfer,0.5,1,4,1,0.9
Evander Kane\\kaneev01,Evander Kane,0,0.9,45,51,-2.6
Patrick Kane\\kanepa01,Patrick Kane,-0.5,-0.5,43,41,-6.9
Kasperi Kapanen\\kapanka01,Kasperi Kapanen,-0.4,-1.4,36,29,-5.4
Erik Karlsson\\karlser01,Erik Karlsson,4.6,4.8,52,68,4
Melker Karlsson\\karlsme01,Melker Karlsson,-5.2,-5.7,26,11,-5.9
William Karlsson\\karlswi01,William Karlsson,0.9,0.6,54,37,10.9
David Kase\\kaseda01,David Kase,-8.3,-11.4,2,1,0
Ondrej Kase\\kaseon01,Ondrej Kase,4.5,4.1,41,30,1.2
Zack Kassian\\kassiza01,Zack Kassian,1.2,0.6,26,45,3
Martin Kaut\\kautma01,Martin Kaut,2.4,0.2,2,0,-0.2
Duncan Keith\\keithdu01,Duncan Keith,0.2,-0.6,42,74,-5.4
Clayton Keller\\kellecl01,Clayton Keller,5.3,4.3,34,32,0.6
Joel Kellman\\kellmjo01,Joel Kellman,-5.3,-5.6,8,8,-0.6
Adrian Kempe\\kempead01,Adrian Kempe,2.7,3.2,24,27,4.1
Michal Kempny\\kempnmi01,Michal Kempny,-2.7,-3.1,13,35,-5.6
Alexander Kerfoot\\kerfoal01,Alexander Kerfoot,1.8,2.3,28,33,-3.5
Phil Kessel\\kesseph01,Phil Kessel,3,1.1,19,41,0.5
Jujhar Khaira\\khairju01,Jujhar Khaira,-3.3,-3,15,36,-11.3
Alex Killorn\\killoal01,Alex Killorn,0.7,0,27,26,1.2
Joel Kiviranta\\kivirjo01,Joel Kiviranta,10.7,10.9,5,3,0.5
Oscar Klefbom\\klefbos01,Oscar Klefbom,-1.5,-0.1,36,58,-3.3
John Klingberg\\klingjo01,John Klingberg,2.5,1.7,24,71,0.3
Nikolai Knyzhov\\knyzhni01,Nikolai Knyzhov,-32,-44.8,1,2,-0.8
Slater Koekkoek\\koekksl01,Slater Koekkoek,4.1,4.5,9,27,2.1
Mikko Koivu\\koivumi01,Mikko Koivu,0.6,1.1,29,13,6.9
Otto Koivula\\koivuot01,Otto Koivula,-5.5,-6.8,2,3,-0.3
Keegan Kolesar\\koleske01,Keegan Kolesar,-26.6,-25.4,0,0,-0.3
Leo Komarov\\komarle01,Leo Komarov,-4.3,-5.6,13,16,-2.9
Travis Konecny\\konectr01,Travis Konecny,6.1,4.9,29,47,8.5
Anze Kopitar\\kopitan01,Anze Kopitar,-0.2,-0.4,39,49,0.6
Egor Korshkov\\korsheg01,Egor Korshkov,15.9,5.8,1,0,-0.5
Klim Kostin\\kostikl01,Klim Kostin,-8,-13.2,0,1,-0.4
Jesperi Kotkaniemi\\kotkaje01,Jesperi Kotkaniemi,-0.7,-2.9,14,21,-3.6
Ilya Kovalchuk\\kovalil01,Ilya Kovalchuk,1.2,2.7,11,25,5.6
Chris Kreider\\kreidch01,Chris Kreider,3.3,0.8,22,61,-1.5
David Krejci\\krejcda01,David Krejci,0.1,-0.4,31,37,-0.8
Torey Krug\\krugto01,Torey Krug,6.3,4.3,22,48,8.6
Dominik Kubal\'edk\\kubaldo01,Dominik Kubal,2.3,3.3,23,25,-1.8
Nikita Kucherov\\kucheni01,Nikita Kucherov,6,6.6,30,59,9.8
Karson Kuhlman\\kuhlmka01,Karson Kuhlman,3.1,4.4,2,5,2
Tom Kuhnhackl\\kuhnhto01,Tom Kuhnhackl,-5.6,-4.5,4,11,-4.2
Dean Kukan\\kukande01,Dean Kukan,1.9,0.6,7,14,1.1
Brett Kulak\\kulakbr01,Brett Kulak,1.8,1.6,13,36,10.2
Dmitry Kulikov\\kulikdm01,Dmitry Kulikov,1.3,1.6,16,55,-7.4
Luke Kunin\\kuninlu01,Luke Kunin,-5.4,-4.1,9,15,-2
Janne Kuokkanen\\kuokkja01,Janne Kuokkanen,-5.1,-10.5,0,1,0.2
Sean Kuraly\\kuralse01,Sean Kuraly,-6.8,-6.2,28,27,-4.8
Evgeny Kuznetsov\\kuzneev01,Evgeny Kuznetsov,-7.1,-8.6,22,45,-7.8
Oliver Kylington\\kylinol01,Oliver Kylington,-3.9,-3.3,8,29,-0.3
Jordan Kyrou\\kyroujo01,Jordan Kyrou,3,3.8,13,6,3.5
Joel L'Esperance\\lespejo01,Joel L'Esperance,3.3,-6.2,1,2,-0.2
Kevin Labanc\\labanke01,Kevin Labanc,6.3,5,33,33,2.4
Andrew Ladd\\laddan01,Andrew Ladd,-9.2,-7.2,0,1,0.4
Paul Ladue\\laduepa01,Paul Ladue,-2.1,-10.1,1,1,0
Sam Lafferty\\laffesa01,Sam Lafferty,-3.5,-3.5,17,12,-4.1
William Lagesson\\lageswi01,William Lagesson,-0.9,-2,0,7,-0.5
Patrik Laine\\lainepa01,Patrik Laine,-0.7,-1.4,41,57,-10.1
Maxime Lajoie\\lajoima01,Maxime Lajoie,13.9,9.6,0,0,0.3
Gabriel Landeskog\\landega01,Gabriel Landeskog,0.2,1.7,39,25,5.8
Dylan Larkin\\larkidy01,Dylan Larkin,7.1,6.3,43,81,0.8
Adam Larsson\\larssad01,Adam Larsson,0,1.1,16,35,-3.8
Jacob Larsson\\larssja01,Jacob Larsson,-7.7,-8.5,6,31,-7.4
Johan Larsson\\larssjo02,Johan Larsson,1.9,2.3,24,23,-2
Brian Lashoff\\lashobr01,Brian Lashoff,-0.6,1.8,0,2,0.8
Scott Laughton\\laughsc01,Scott Laughton,-7.1,-6.7,22,21,0.3
Jeremy Lauzon\\lauzoje01,Jeremy Lauzon,-4.8,-4.1,3,6,1.6
Curtis Lazar\\lazarcu01,Curtis Lazar,-5.1,-3.4,13,10,-4.3
Nick Leddy\\leddyni01,Nick Leddy,-2.8,-3.6,17,52,-6.9
Anders Lee\\leean01,Anders Lee,6.9,7.8,24,44,8.7
Artturi Lehkonen\\lehkoar01,Artturi Lehkonen,-2,-3.4,30,22,6.7
Brendan Leipsic\\leipsbr01,Brendan Leipsic,1.2,2,8,24,4.2
Josh Leivo\\leivojo01,Josh Leivo,3.2,0.7,11,15,1.1
Brendan Lemieux\\lemiebr01,Brendan Lemieux,-4.6,-2.5,15,30,-5.5
Otto Leskinen\\leskiot01,Otto Leskinen,-12.1,-20.4,1,5,-0.3
Kris Letang\\letankr01,Kris Letang,2,0.7,31,80,3.6
Mark Letestu\\letesma01,Mark Letestu,-10.1,-5.5,0,1,-0.6
Maxim Letunov\\letunma01,Maxim Letunov,14.8,17.2,2,1,0.3
Tyler Lewington\\lewinty01,Tyler Lewington,1.3,0.3,1,3,-0.8
Trevor Lewis\\lewistr01,Trevor Lewis,-0.4,0.8,11,14,-1.7
Jakob Lilja\\liljaja01,Jakob Lilja,-6.1,-6,9,8,-2.1
Timothy Liljegren\\liljeti01,Timothy Liljegren,-6.1,-9.8,0,6,-1.7
Oskar Lindblom\\lindbos01,Oskar Lindblom,3.3,4.3,15,13,3.3
Esa Lindell\\lindees01,Esa Lindell,-5.2,-6.1,31,62,-5
Ryan Lindgren\\lindgry01,Ryan Lindgren,-0.9,-0.8,28,25,2.4
Anton Lindholm\\lindhan01,Anton Lindholm,-4.2,-3.6,0,0,0.7
Elias Lindholm\\lindhel01,Elias Lindholm,1.9,1.7,38,33,0.6
Hampus Lindholm\\lindhha01,Hampus Lindholm,3.9,3.2,20,53,-5.7
Par Lindholm\\lindhpa01,Par Lindholm,-0.8,-0.6,14,13,4.1
Gustav Lindstrom\\lindsgu01,Gustav Lindstrom,-0.2,1.6,3,7,-0.8
Bryan Little\\littlbr01,Bryan Little,10.1,10.1,2,2,-0.2
Blake Lizotte\\lizotbl01,Blake Lizotte,2.3,3,22,21,8.2
Adam Lowry\\lowryad01,Adam Lowry,-3.3,-2.8,31,11,-7.2
Milan Lucic\\lucicmi01,Milan Lucic,0.2,0.9,19,42,1.6
Matt Luff\\luffma01,Matt Luff,-5,-4.3,4,4,-0.5
Isac Lundestrom\\lundeis01,Isac Lundestrom,-3.5,-4.3,4,2,-1.3
Eetu Luostarinen\\luostee01,Eetu Luostarinen,-1.2,-1.7,2,1,1
Joona Luoto\\luotojo01,Joona Luoto,-16.2,-11.9,3,5,-3.8
Ilya Lyubushkin\\lyubuil01,Ilya Lyubushkin,1.2,1.3,13,20,6.7
Olli Maatta\\maattol01,Olli Maatta,0.4,0.9,22,57,-3.5
Kurtis MacDermid\\macdeku01,Kurtis MacDermid,-1,-1.9,5,26,-3.8
Mackenzie MacEachern\\maceama01,Mackenzie MacEachern,2.1,1.8,14,11,1.4
Zack MacEwen\\macewza01,Zack MacEwen,-4.2,-3,4,8,-2.2
Ryan MacInnis\\macinry01,Ryan MacInnis,-5.3,-3.8,3,2,1
Nathan MacKinnon\\mackina01,Nathan MacKinnon,3.2,3.9,38,53,11
Josh Mahura\\mahurjo01,Josh Mahura,1.5,1.9,2,5,-0.2
Cale Makar\\makarca01,Cale Makar,2.2,2.3,34,40,9
Beck Malenstyn\\malenbe01,Beck Malenstyn,6.1,-0.5,1,0,-0.3
Denis Malgin\\malgide01,Denis Malgin,3.6,1.9,26,17,-1.6
Evgeni Malkin\\malkiev01,Evgeni Malkin,3.4,4.8,70,69,13.2
Andrew Mangiapane\\mangian01,Andrew Mangiapane,4,4.8,38,29,5
Brandon Manning\\mannibr01,Brandon Manning,-2,2.2,1,8,-1.1
Josh Manson\\mansojo01,Josh Manson,1.6,1.3,21,41,-2.9
Anthony Mantha\\manthan01,Anthony Mantha,10.9,11.6,22,30,9.8
Brad Marchand\\marchbr03,Brad Marchand,7.3,7.4,43,71,9.5
Jonathan Marchessault\\audymjo01,Jonathan Marchessault,0.7,-0.8,37,48,10.6
Mason Marchment\\marchma01,Mason Marchment,-15.6,-16.3,1,1,-0.3
Martin Marincin\\marinma01,Martin Marincin,-0.5,0.6,9,22,-1.5
John Marino\\marinjo01,John Marino,-0.8,-0.3,37,42,3.7
Patrick Marleau\\marlepa01,Patrick Marleau,-1.6,-1.1,29,15,-2.5
Mitch Marner\\marnemi01,Mitch Marner,2.3,3.6,64,71,7.8
Pat Maroon\\maroopa01,Pat Maroon,-1.2,-0.8,14,17,4.3
Matt Martin\\martima02,Matt Martin,-3.6,-5,11,17,-2.9
Alec Martinez\\martial01,Alec Martinez,-5.2,-3.4,14,32,2.1
Jordan Martinook\\martijo01,Jordan Martinook,-0.9,-1,24,19,-2.2
Mike Matheson\\mathemi01,Mike Matheson,-0.1,-0.6,41,54,-7.5
Stefan Matteau\\mattest02,Stefan Matteau,-1.8,0.1,2,1,-0.3
Auston Matthews\\matthau01,Auston Matthews,3.2,3.8,78,48,15.5
Scott Mayfield\\mayfisc01,Scott Mayfield,0.9,-0.2,21,70,0.6
Gerald Mayhew\\mayhege01,Gerald Mayhew,0.2,-6.1,4,2,-0.8
Charlie McAvoy\\mcavoch01,Charlie McAvoy,0.4,1.3,37,68,7.9
Jake McCabe\\mccabja01,Jake McCabe,0.6,1.8,19,21,-3
Jared McCann\\mccanja01,Jared McCann,-1.2,-0.4,33,29,1.6
Connor McDavid\\mcdavco01,Connor McDavid,1,-0.1,53,75,2.6
Ryan McDonagh\\mcdonry01,Ryan McDonagh,-3.7,-3.1,25,32,-1.4
Brock McGinn\\mcginbr01,Brock McGinn,-2.9,-3.3,19,10,-2.8
Dylan McIlrath\\mcilrdy01,Dylan McIlrath,-3.4,-5.9,4,8,-3.1
Greg McKegg\\mckeggr01,Greg McKegg,-7,-6.8,14,13,-4.5
Michael McLeod\\mcleomi01,Michael McLeod,-2.6,-0.8,4,0,0.5
Brayden McNabb\\mcnabbr01,Brayden McNabb,-3.5,-3.1,32,32,8.1
Jayson Megna\\megnaja01,Jayson Megna,-3.4,-4.5,0,1,-0.8
Timo Meier\\meierti01,Timo Meier,3.8,4.3,39,31,3.8
Brennan Menell\\menelbr01,Brennan Menell,16,12.2,2,0,0.2
Nicholas Merkley\\merklni01,Nicholas Merkley,11.3,17.6,2,2,0.1
Dakota Mermis\\mermida01,Dakota Mermis,4.7,5.7,1,7,1.9
Jonathon Merrill\\merrijo01,Jonathon Merrill,-1.4,0.2,14,27,8.5
Victor Mete\\metevi01,Victor Mete,-2.4,-2.3,8,35,2.6
Jacob Middleton\\middlja01,Jacob Middleton,-1,0.6,1,1,1.4
Ilya Mikheyev\\mikheil01,Ilya Mikheyev,1.9,2.4,24,14,-0.4
Niko Mikkola\\mikkoni01,Niko Mikkola,7.3,9,0,1,0.6
Sonny Milano\\milanso01,Sonny Milano,-0.9,-0.7,22,30,2.6
Colin Miller\\milleco02,Colin Miller,1,0.1,9,29,-6.1
J.T. Miller\\millejt01,J.T. Miller,8.5,8.6,52,36,11
Casey Mittelstadt\\mitteca01,Casey Mittelstadt,-6,-6.4,6,9,-4.7
Sean Monahan\\monahse01,Sean Monahan,-0.1,-1.3,43,36,1.8
Brandon Montour\\montobr01,Brandon Montour,-2.8,-2.9,12,27,-7.2
John Moore\\moorejo01,John Moore,-0.7,0.2,2,7,2.3
Trevor Moore\\mooretr01,Trevor Moore,-4.4,-4.4,21,20,-1.4
Samuel Morin\\morinsa01,Samuel Morin,-18.2,-22.9,1,2,-1.4
Josh Morrissey\\morrijo04,Josh Morrissey,0,-1.9,22,46,-13.8
Tyler Motte\\mottety01,Tyler Motte,-10.2,-9,16,9,-8.8
Mirco Mueller\\muellmi01,Mirco Mueller,-2.5,-2.3,9,27,-7.3
Connor Murphy\\murphco02,Connor Murphy,0.9,1.8,17,44,-3.2
Ryan Murray\\murrary01,Ryan Murray,-2.7,-2.8,6,15,0.4
Jake Muzzin\\muzzija01,Jake Muzzin,0.9,3.2,24,63,5.1
Philippe Myers\\myersph01,Philippe Myers,1,0.8,21,32,3.9
Tyler Myers\\myersty01,Tyler Myers,0.5,0,42,41,-3.9
Vladislav Namestnikov\\namesvl01,Vladislav Namestnikov,-3.2,-2.5,25,28,-4.1
Riley Nash\\nashri02,Riley Nash,-4,-3.1,25,10,1.6
James Neal\\nealja01,James Neal,3.7,3,24,29,-0.4
Martin Necas\\necasma01,Martin Necas,-2.2,-1.4,23,36,-3.7
Brock Nelson\\nelsobr01,Brock Nelson,-1.7,-2,26,52,-0.7
Patrik Nemeth\\nemetpa01,Patrik Nemeth,3.5,3.6,10,54,-5.5
Aaron Ness\\nessaa01,Aaron Ness,0.3,1.3,1,8,1.2
Valeri Nichushkin\\nichuva01,Valeri Nichushkin,5.3,4.8,38,18,11
Nino Niederreiter\\niedeni01,Nino Niederreiter,3.5,3.3,35,42,6.7
Frans Nielsen\\nielsfr01,Frans Nielsen,-1.7,-0.8,11,15,-7.2
