Name,player,CF% rel,FF% rel,TK,GV,E+/-
Matthew Nieto\\nietoma01,Matthew Nieto,0.1,-0.3,19,17,1.8
Boo Nieves\\nievecr01,Boo Nieves,-5.9,-11.2,1,0,-0.3
Sami Niku\\nikusa01,Sami Niku,-7.6,-8.2,2,11,-4.5
Matt Niskanen\\niskama01,Matt Niskanen,2.5,3.1,14,56,8.5
Stefan Noesen\\noesest01,Stefan Noesen,-0.3,0,16,8,2.3
Joakim Nordstrom\\nordsjo02,Joakim Nordstrom,-9.3,-9.2,12,10,-4.7
Joshua Norris\\norrijo01,Joshua Norris,-9.6,-10.3,1,0,-1.2
Tomas Nosek\\nosekto01,Tomas Nosek,-1.6,-1.3,22,16,8.4
Ryan Nugent-Hopkins\\nugenry01,Ryan Nugent-Hopkins,-0.2,0,54,39,-2.7
Darnell Nurse\\nurseda01,Darnell Nurse,0.6,-1.1,26,54,-1.7
Markus Nutivaara\\nutivma01,Markus Nutivaara,0.7,0.8,6,13,0
Joakim Nygard\\nygarjo01,Joakim Nygard,-2.9,-1.7,14,10,4.6
Alexander Nylander\\nylanal01,Alexander Nylander,0.9,0.5,25,23,-1.6
William Nylander\\nylanwi01,William Nylander,4.1,3.1,42,41,6.5
Gustav Nyquist\\nyquigu01,Gustav Nyquist,-1.7,-2.4,27,41,1.3
Logan O'Connor\\oconnlo01,Logan O'Connor,4.9,7,5,0,0.3
Ryan O'Reilly\\oreilry01,Ryan O'Reilly,3.1,2.4,69,22,-3
Jordan Oesterle\\oestejo01,Jordan Oesterle,-0.7,-0.1,11,37,-1.1
Kyle Okposo\\okposky01,Kyle Okposo,2.9,3.9,15,13,0.7
Jamie Oleksiak\\oleksja01,Jamie Oleksiak,4.6,4.6,24,46,7.5
Mathieu Olivier\\olivima01,Mathieu Olivier,-8,-4.9,0,3,0.2
Gustav Olofsson\\olofsgu01,Gustav Olofsson,-28.3,-29.9,0,1,-1
Victor Olofsson\\olofsvi01,Victor Olofsson,0.5,0.2,12,26,-2.1
Dmitry Orlov\\orlovdm01,Dmitry Orlov,2.1,1.8,49,65,1.3
T.J. Oshie\\oshietj01,T.J. Oshie,-1.9,-0.5,42,45,-1.1
Xavier Ouellet\\ouellxa01,Xavier Ouellet,-2.2,-3.4,1,4,0.6
Alex Ovechkin\\ovechal01,Alex Ovechkin,1.5,-0.1,28,48,2.1
Max Pacioretty\\pacioma01,Max Pacioretty,6.2,7.7,32,55,27.3
Jean-Gabriel Pageau\\pageaje01,Jean-Gabriel Pageau,-0.4,1.4,33,32,0.4
Ondrej Palat\\palaton01,Ondrej Palat,1.6,1.7,41,34,5.6
Kyle Palmieri\\palmiky01,Kyle Palmieri,2.6,3.7,29,28,-0.3
Artemi Panarin\\panarar01,Artemi Panarin,6.3,7,56,82,10
Richard Panik\\panikri01,Richard Panik,2.5,1.3,21,29,-1.3
Cedric Paquette\\paquece01,Cedric Paquette,-5.3,-5.5,17,9,-4.2
Colton Parayko\\parayco01,Colton Parayko,-2,-1,33,41,-2.5
Zach Parise\\parisza01,Zach Parise,-0.7,-1.2,21,22,-0.4
David Pastrnak\\pastrda01,David Pastrnak,5.8,4.7,49,88,8.5
Greg Pateryn\\patergr01,Greg Pateryn,-9.3,-8.3,3,6,-0.1
Nick Paul\\paulni01,Nick Paul,-2.7,-1.6,27,19,-3.1
Joe Pavelski\\paveljo01,Joe Pavelski,2.8,2.3,38,27,6.5
Tanner Pearson\\pearsta01,Tanner Pearson,0.3,-0.8,37,33,-7.5
Matthew Peca\\pecama01,Matthew Peca,-2.3,-3,0,1,-0.5
Andrew Peeke\\peekean01,Andrew Peeke,-0.2,-0.3,3,8,1.6
Adam Pelech\\pelecad01,Adam Pelech,-3.5,-3.2,32,48,-3.7
Brendan Perlini\\perlibr01,Brendan Perlini,-5,-6.6,7,8,-9
Mathieu Perreault\\perrema01,Mathieu Perreault,2.4,2,17,11,-2
David Perron\\perroda01,David Perron,4.2,3.8,39,35,-0.8
Corey Perry\\perryco01,Corey Perry,-3.5,-3.1,17,26,0.8
Joel Persson\\perssjo02,Joel Persson,1.1,0.6,2,8,-0.3
Brett Pesce\\pescebr01,Brett Pesce,-2.2,-3.2,42,39,0.3
Nic Petan\\petanni01,Nic Petan,1.3,4,4,2,0.2
Jeff Petry\\petryje01,Jeff Petry,3.8,3.5,30,88,15.3
Elias Pettersson\\petteel01,Elias Pettersson,9.5,9.8,36,33,12.1
Marcus Pettersson\\pettema01,Marcus Pettersson,1.8,2.5,17,38,7
Alex Pietrangelo\\pietral01,Alex Pietrangelo,3.9,3.9,43,45,4.6
Lawrence Pilut\\pilutla01,Lawrence Pilut,-8.2,-8.4,2,4,-1.2
Neal Pionk\\pionkne01,Neal Pionk,4.1,4,31,62,-6.4
Brandon Pirri\\pirribr01,Brandon Pirri,-11,-11.7,8,4,-0.7
Tyler Pitlick\\pitlity01,Tyler Pitlick,-6.3,-5,28,15,-0.4
Ryan Poehling\\poehlry01,Ryan Poehling,-4,-2.8,7,8,-1.6
Austin Poganski\\poganau01,Austin Poganski,-37.7,-39.8,0,0,-0.3
Brayden Point\\pointbr01,Brayden Point,3.2,4,30,19,8.7
Roman Polak\\polakro01,Roman Polak,-7.4,-5.9,4,22,-2.1
Tucker Poolman\\poolmtu01,Tucker Poolman,-2.6,-3.8,14,46,-12.9
Derrick Pouliot\\poulide01,Derrick Pouliot,15.6,20,0,1,0
Nikolai Prokhorkin\\prokhni01,Nikolai Prokhorkin,0.1,-2.4,19,14,-4.8
Dalton Prout\\proutda01,Dalton Prout,1.8,4.6,2,0,-0.6
Ivan Provorov\\provoiv01,Ivan Provorov,1.9,1.7,16,67,6.7
Ryan Pulock\\pulocry01,Ryan Pulock,-2.9,-0.9,15,64,-0.2
Mark Pysyk\\pysykma01,Mark Pysyk,-6.4,-6.4,26,15,-5.8
John Quenneville\\quennjo02,John Quenneville,0.1,0.2,2,5,-1.6
Alan Quine\\quineal01,Alan Quine,1.8,2.2,2,1,-0.2
Gage Quinney\\quinnga01,Gage Quinney,8.4,9.3,0,0,0.2
Lukas Radil\\radillu01,Lukas Radil,-3.2,-5.6,4,4,-1.7
Alexander Radulov\\radulal01,Alexander Radulov,4,4.8,26,44,8.7
Michael Raffl\\rafflmi01,Michael Raffl,-2.8,-2.2,19,23,0.4
Rickard Rakell\\rakelri01,Rickard Rakell,3.1,3.2,30,42,1.9
Mikko Rantanen\\rantami01,Mikko Rantanen,2.7,3.1,34,16,2.1
Victor Rask\\raskvi01,Victor Rask,4.4,3.8,13,5,3.5
Ryan Reaves\\reavery01,Ryan Reaves,-1.2,-0.9,17,7,6.3
Mike Reilly\\reillmi01,Mike Reilly,2.3,2.8,9,39,4.4
Sam Reinhart\\reinhsa01,Sam Reinhart,4,3.3,21,33,-5.5
Anthony Richard\\richaan01,Anthony Richard,-5,-3,0,0,-0.4
Brad Richardson\\richabr02,Brad Richardson,-7.4,-6.5,12,18,-6.2
Tobias Rieder\\riedeto01,Tobias Rieder,-2.8,-1.6,17,8,-2.4
Morgan Rielly\\riellmo01,Morgan Rielly,-2,-2.8,17,42,0.6
Juuso Riikola\\riikoju01,Juuso Riikola,3.3,4.1,8,16,3.6
Zac Rinaldo\\rinalza01,Zac Rinaldo,-7,-6.7,5,5,-3.3
Rasmus Ristolainen\\ristora01,Rasmus Ristolainen,-4.2,-4.3,17,24,-7.4
Brett Ritchie\\ritchbr01,Brett Ritchie,1.3,0.3,3,4,-2.1
Nick Ritchie\\ritchni01,Nick Ritchie,5,6.6,11,20,-0.7
Jason Robertson\\roberja01,Jason Robertson,8.6,2.7,1,0,0.3
Buddy Robinson\\robinbu01,Buddy Robinson,-2.8,3.2,2,1,1
Eric Robinson\\robiner01,Eric Robinson,4.1,4.1,13,11,6.3
Evan Rodrigues\\rodriev01,Evan Rodrigues,-0.8,-1,14,13,0.1
Kevin Rooney\\rooneke01,Kevin Rooney,-3.2,-4.2,17,13,-2.5
Calle Rosen\\rosenca01,Calle Rosen,-0.1,-1.5,2,8,-1
Jack Roslovic\\rosloja01,Jack Roslovic,3.4,2.4,24,38,-7.7
Antoine Roussel\\roussan01,Antoine Roussel,0.1,1.3,7,13,-5
Carter Rowney\\rowneca01,Carter Rowney,-7.6,-6.9,24,26,-7.1
Matt Roy\\royma04,Matt Roy,4.3,5.7,7,43,9.8
Nicolas Roy\\royni01,Nicolas Roy,5.2,4.7,10,6,6.7
German Rubtsov\\rubtsge01,German Rubtsov,-25.1,-25.9,1,1,-0.4
Chad Ruhwedel\\ruhwech01,Chad Ruhwedel,-1.1,-1.1,7,17,2
Kris Russell\\russekr01,Kris Russell,-4.9,-2.9,31,38,-5.2
Patrick Russell\\russepa01,Patrick Russell,-2.5,-1.3,9,13,-2.4
Bryan Rust\\rustbr01,Bryan Rust,0.2,1.3,29,37,10.1
Jan Rutta\\ruttaja02,Jan Rutta,1.3,-0.2,2,8,5
Bobby Ryan\\ryanbo01,Bobby Ryan,4.8,2.7,12,18,-0.6
Derek Ryan\\ryande01,Derek Ryan,-1.8,-0.8,34,26,-0.1
Joakim Ryan\\ryanjo02,Joakim Ryan,-3.2,-1.3,6,28,1.4
Brandon Saad\\saadbr01,Brandon Saad,3.5,3,40,25,4.6
Aleksi Saarela\\saareal01,Aleksi Saarela,-0.1,6.6,6,3,-1.3
Scott Sabourin\\sabousc01,Scott Sabourin,-5.5,-4.1,5,6,-4
Miikka Salomaki\\salommi01,Miikka Salomaki,-8.3,-4.8,1,3,0.2
Rasmus Sandin\\sandira01,Rasmus Sandin,4,0.5,2,15,-1.8
Zach Sanford\\sanfoza01,Zach Sanford,1.8,2,18,19,2.2
Travis Sanheim\\sanhetr01,Travis Sanheim,1,0.5,22,53,5.6
Steven Santini\\santist01,Steven Santini,-9,-6.6,0,0,0.2
Ashton Sautner\\sautnas01,Ashton Sautner,-11.9,-38.3,0,0,-0.3
David Savard\\savarda01,David Savard,-3.3,-1.4,18,43,5.9
Luca Sbisa\\sbisalu01,Luca Sbisa,-3.1,-2,4,26,-6.8
Marco Scandella\\scandma01,Marco Scandella,-0.3,0.8,18,49,5.5
Colton Sceviour\\scevico01,Colton Sceviour,-6.8,-4.2,26,35,-5.8
Tim Schaller\\schalti01,Tim Schaller,-10.7,-10.1,14,9,-8.3
Mark Scheifele\\scheima01,Mark Scheifele,0.3,-0.3,57,46,-8.1
Brayden Schenn\\schenbr01,Brayden Schenn,0.1,0.1,26,39,2.1
Luke Schenn\\schenlu01,Luke Schenn,-8,-8.2,5,10,-3
Nick Schmaltz\\schmani01,Nick Schmaltz,2.5,2.2,52,27,-1.6
Nate Schmidt\\schmina01,Nate Schmidt,-3.5,-4,33,39,9.8
Justin Schultz\\schulju01,Justin Schultz,-0.9,0.8,6,18,2.7
Jaden Schwartz\\schwaja01,Jaden Schwartz,2.8,2.5,50,29,2.8
Brent Seabrook\\seabrbr01,Brent Seabrook,-6,-5.6,3,27,-7.5
Nick Seeler\\seeleni01,Nick Seeler,-9.3,-8.5,1,7,-3.1
Tyler Seguin\\seguity01,Tyler Seguin,1.2,1.1,34,52,4.7
Andrej Sekera\\sekeran01,Andrej Sekera,-2.7,-1.1,8,50,0.4
Brett Seney\\seneybr01,Brett Seney,-2.5,-10,1,3,-0.5
Zachary Senyshyn\\senysza01,Zachary Senyshyn,4.7,8.3,1,1,0.9
Mikhail Sergachev\\sergami01,Mikhail Sergachev,1.3,0.4,18,39,5.7
Damon Severson\\severda01,Damon Severson,2.3,2.2,35,73,-6.7
Michael Sgarbossa\\sgarbmi01,Michael Sgarbossa,-6.5,-6.4,2,1,-0.6
Kevin Shattenkirk\\shattke01,Kevin Shattenkirk,2.5,2.2,32,34,9
Andrew Shaw\\shawan01,Andrew Shaw,3.7,1.5,12,15,1.5
Logan Shaw\\shawlo01,Logan Shaw,-12.6,-9.6,2,5,-4
Riley Sheahan\\sheahri01,Riley Sheahan,-5,-3.9,36,25,-3.9
Conor Sheary\\shearco01,Conor Sheary,0.3,-0.2,19,18,1.2
Kiefer Sherwood\\sherwki01,Kiefer Sherwood,-4.6,-5.7,4,7,-3.9
Kole Sherwood\\sherwko01,Kole Sherwood,10.1,10.9,2,0,0.3
Devin Shore\\shorede01,Devin Shore,-2.8,-2.5,12,8,-6.4
Nick Shore\\shoreni01,Nick Shore,-7.8,-6.5,14,16,-5.1
Jonas Siegenthaler\\siegejo01,Jonas Siegenthaler,-2.6,-1.2,13,32,1.5
Dylan Sikura\\sikurdy01,Dylan Sikura,-2.2,-1,2,0,-2.2
Jakob Silfverberg\\silfvja01,Jakob Silfverberg,2,1.1,40,32,-3.3
Radim Simek\\simekra01,Radim Simek,-6.2,-7.5,20,36,-6.2
Wayne Simmonds\\simmowa01,Wayne Simmonds,0.9,1.3,27,18,-1.3
Dominik Simon\\simondo01,Dominik Simon,3.1,2.7,41,31,3.4
Colton Sissons\\sissoco01,Colton Sissons,-6.7,-4.4,14,25,-4.2
Jeff Skinner\\skinnje01,Jeff Skinner,-0.2,-0.6,28,24,-1.4
Brady Skjei\\skjeibr01,Brady Skjei,-1.6,-2.8,36,55,-7.9
Jaccob Slavin\\slavija01,Jaccob Slavin,1.7,3.2,81,49,18
Brendan Smith\\smithbr05,Brendan Smith,-4,-2.9,18,24,-7.8
Craig Smith\\smithcr01,Craig Smith,5.2,5.8,26,26,8
Dalton Smith\\smithda03,Dalton Smith,47.8,48.2,0,0,0.1
Gemel Smith\\smithge02,Gemel Smith,-6.3,2,1,0,-0.6
Givani Smith\\smithgi01,Givani Smith,0.2,2.2,2,6,-0.7
Reilly Smith\\smithre01,Reilly Smith,-1.5,-3,58,41,7.4
Zack Smith\\smithza01,Zack Smith,-4.1,-5.9,21,14,-5.7
Vladimir Sobotka\\sobotvl01,Vladimir Sobotka,-4.4,-3.8,3,3,-2.3
Carl Soderberg\\soderca01,Carl Soderberg,-2.6,-1.8,28,24,-5.5
Marcus Sorensen\\sorenma01,Marcus Sorensen,-1.9,-2.6,28,18,-3.8
Carson Soucy\\soucyca01,Carson Soucy,-3.6,-2.8,17,16,1
Jason Spezza\\spezzja01,Jason Spezza,-1.2,-1.3,20,33,-0.2
Daniel Sprong\\spronda01,Daniel Sprong,7.6,9,1,0,0.4
Jared Spurgeon\\spurgja01,Jared Spurgeon,3.9,2.7,10,23,10.3
Eric Staal\\staaler01,Eric Staal,-0.6,-2.4,25,46,-0.7
Jordan Staal\\staaljo01,Jordan Staal,2.1,1.9,30,41,6.3
Marc Staal\\staalma01,Marc Staal,-5.4,-5,19,34,-5
Steven Stamkos\\stamkst01,Steven Stamkos,-0.8,-1.6,24,33,6.1
Paul Stastny\\stastpa01,Paul Stastny,2.6,2.8,41,18,16.4
Troy Stecher\\stechtr01,Troy Stecher,0.4,0.3,16,25,-3.4
Sam Steel\\steelsa01,Sam Steel,1.2,-0.1,25,37,-8.9
Alex Steen\\steenal01,Alex Steen,-3.2,-2.6,16,12,1.8
Kevin Stenlund\\stenlke01,Kevin Stenlund,1,-0.2,6,9,1.5
Derek Stepan\\stepade01,Derek Stepan,1.7,0.8,38,28,-3.1
Mitchell Stephens\\stephmi01,Mitchell Stephens,1.2,1,6,4,1.6
Chandler Stephenson\\stephch02,Chandler Stephenson,0.1,1.5,37,22,10.6
Chris Stewart\\stewach02,Chris Stewart,-18.2,-16.9,3,1,-4.5
Riley Stillman\\stillri01,Riley Stillman,-3.9,-3.4,13,28,-5.4
Mark Stone\\stonema01,Mark Stone,5.3,6.5,78,38,24.5
Michael Stone\\stonemi01,Michael Stone,-7.7,-7.2,6,9,-5.1
Anton Stralman\\stralan01,Anton Stralman,-3.7,-3.2,40,48,-6.6
Ben Street\\streebe01,Ben Street,-14.1,-17.4,0,0,-0.8
Dylan Strome\\stromdy01,Dylan Strome,1.8,1.8,30,26,-5.4
Ryan Strome\\stromry01,Ryan Strome,3.2,3.9,27,54,10.1
Jack Studnicka\\studnja01,Jack Studnicka,6.3,8.5,0,3,0.5
Nico Sturm\\sturmni01,Nico Sturm,2.7,4.2,1,1,-0.1
P.K. Subban\\subbapk01,P.K. Subban,1.9,2.1,19,65,-7.5
C.J. Suess\\frankcl01,C.J. Suess,-18.6,-19.8,0,0,-0.5
Oskar Sundqvist\\sundqos01,Oskar Sundqvist,-5.6,-4.5,36,11,-2.2
Antti Suomela\\suomean01,Antti Suomela,-2.9,-3.2,6,4,1.4
Ryan Suter\\suterry01,Ryan Suter,1.1,-1.5,19,27,2.5
Brandon Sutter\\suttebr03,Brandon Sutter,-6.5,-5.4,15,9,-4.2
Nick Suzuki\\suzukni01,Nick Suzuki,-1.6,-1.9,31,37,0.3
Andrei Svechnikov\\svechan01,Andrei Svechnikov,3.1,3.1,29,66,11.1
Evgeny Svechnikov\\svechev01,Evgeny Svechnikov,-1.6,-1.5,0,3,0.7
Jordan Szwarz\\szwarjo01,Jordan Szwarz,-14.8,2.3,0,0,-0.1
Brandon Tanev\\tanevbr01,Brandon Tanev,-1.8,-3.3,33,37,-4.9
Chris Tanev\\tanevch01,Chris Tanev,-3.3,-2.6,20,45,-10.4
Vladimir Tarasenko\\tarasvl01,Vladimir Tarasenko,4.4,5.1,3,5,0.5
Tomas Tatar\\tatarto01,Tomas Tatar,8.6,8.2,31,29,17.5
John Tavares\\tavarjo01,John Tavares,1.4,0.8,35,47,4.2
Matt Tennyson\\tennyma01,Matt Tennyson,-2,-2.3,2,8,0
Teuvo Teravainen\\teravte01,Teuvo Teravainen,5.1,4.3,44,44,10.5
Troy Terry\\terrytr01,Troy Terry,1.3,1.5,31,19,-1.2
Alexandre Texier\\texieal01,Alexandre Texier,1,0.2,16,12,0.4
Shea Theodore\\theodsh01,Shea Theodore,5.7,4.9,55,54,27.7
Robert Thomas\\thomaro01,Robert Thomas,0.5,-0.7,46,30,8.6
Nate Thompson\\thompna01,Nate Thompson,-8.6,-6.9,25,33,-1.3
Tage Thompson\\thompta01,Tage Thompson,1.5,7.6,1,0,0
Joe Thornton\\thornjo01,Joe Thornton,3.4,3.3,55,30,-3.3
Calvin Thurkauf\\thurkca01,Calvin Thurkauf,-7.5,-11.1,0,0,-0.2
Chris Tierney\\tiernch01,Chris Tierney,-0.7,-1.6,32,42,-5.6
Dmytro Timashov\\timasdm01,Dmytro Timashov,-5.2,-5.4,5,7,-2.8
Conor Timmins\\timmico01,Conor Timmins,12.7,17.9,1,0,0.3
Jarred Tinordi\\tinorja01,Jarred Tinordi,-6.4,-6.3,1,18,-5
Brady Tkachuk\\tkachbr01,Brady Tkachuk,4.1,4,35,40,6.4
Matthew Tkachuk\\tkachma01,Matthew Tkachuk,4.3,3.7,40,86,7.6
Devon Toews\\toewsde01,Devon Toews,6.1,5.5,32,57,11.5
Jonathan Toews\\toewsjo01,Jonathan Toews,2.2,1.1,58,40,-1.6
Tyler Toffoli\\toffoty01,Tyler Toffoli,4.6,3.9,35,34,9.5
Dominic Toninato\\tonindo01,Dominic Toninato,-5,-4.5,17,13,-3.1
Yakov Trenin\\treniya01,Yakov Trenin,1,2.2,7,3,-0.1
Vincent Trocheck\\trochvi01,Vincent Trocheck,4.2,3.9,51,64,2.6
Zach Trotman\\trotmza01,Zach Trotman,0.1,1.8,0,6,-0.7
Jacob Trouba\\troubja01,Jacob Trouba,-2.5,-3,43,69,-7.4
Alexander True\\trueal01,Alexander True,3.7,3.2,2,5,1.6
Alex Tuch\\tuchal01,Alex Tuch,-3,-3.8,27,27,3
Kyle Turris\\turriky01,Kyle Turris,0.4,-1.7,21,29,-6.3
Carsen Twarynski\\twaryca01,Carsen Twarynski,-9.8,-8.3,6,0,-1.7
T.J. Tynan\\tynant.01,T.J. Tynan,-2.6,-0.8,5,0,-1.4
Urho Vaakanainen\\vaakaur01,Urho Vaakanainen,-9.7,-14.3,1,3,-0.7
James van Riemsdyk\\vanrija01,James van Riemsdyk,1.6,3,17,16,7.9
Trevor van Riemsdyk\\vanritr01,Trevor van Riemsdyk,-1.1,-2.1,13,17,-0.3
Sami Vatanen\\vatansa01,Sami Vatanen,0,-1.3,14,24,-4.4
Frank Vatrano\\vatrafr01,Frank Vatrano,1.2,1.2,32,18,-2
Lukas Vejdemo\\vejdelu01,Lukas Vejdemo,4.1,5.3,2,2,0.8
Carter Verhaeghe\\verhaca01,Carter Verhaeghe,2.1,2.3,19,11,2.3
Max Veronneau\\veronma01,Max Veronneau,12,13.5,0,1,-0.4
Jimmy Vesey\\veseyji02,Jimmy Vesey,0,0.4,26,16,-3.2
Gabriel Vilardi\\vilarga01,Gabriel Vilardi,-0.2,-1.6,1,0,-1.1
Jake Virtanen\\virtaja01,Jake Virtanen,0.4,1.6,37,31,-4.9
Marc-Edouard Vlasic\\vlasima01,Marc-Edouard Vlasic,-1.6,-0.6,18,40,-4.9
Alexander Volkov\\volkoal01,Alexander Volkov,-3.5,-8.7,4,2,-0.8
Jakub Voracek\\voracja01,Jakub Voracek,3.2,2.2,28,30,5.3
Mikhail Vorobyev\\vorobmi01,Mikhail Vorobyev,-6.1,-6.3,5,4,-4.2
Jakub Vrana\\vranaja01,Jakub Vrana,-1.1,-0.1,31,42,0.2
Austin Wagner\\wagneau01,Austin Wagner,2.3,2.7,20,21,6.2
Chris Wagner\\wagnech01,Chris Wagner,-6.9,-6,16,21,-1.5
Oliver Wahlstrom\\wahlsol01,Oliver Wahlstrom,0.7,3.6,1,5,0.5
Nathan Walker\\walkena01,Nathan Walker,15.3,10.8,0,1,0.3
Sean Walker\\walkese01,Sean Walker,2.7,1.7,25,65,0.6
Lucas Wallmark\\wallmlu01,Lucas Wallmark,-3.8,-3,22,17,-0.8
Jake Walman\\walmaja01,Jake Walman,13.3,3.2,0,0,0.3
Austin Watson\\watsoau01,Austin Watson,-12.3,-10.2,18,20,-9
Jordan Weal\\wealjo01,Jordan Weal,1.6,2.1,22,12,4.3
Shea Weber\\webersh01,Shea Weber,0,1.3,18,79,11.3
Yannick Weber\\weberya01,Yannick Weber,-4.4,-5,11,11,-5.8
Anton Wedin\\wedinan01,Anton Wedin,-2.8,0.9,1,0,-0.3
MacKenzie Weegar\\weegama01,MacKenzie Weegar,2.2,3.6,25,38,3.1
Dale Weise\\weiseda01,Dale Weise,-9.7,-8.1,8,12,0.9
Alexander Wennberg\\wennbal01,Alexander Wennberg,1.7,1.5,20,25,0.8
Zach Werenski\\werenza01,Zach Werenski,2.4,1.5,32,47,3.6
Blake Wheeler\\wheelbl01,Blake Wheeler,4.9,6.3,37,46,1.7
Colin White\\whiteco02,Colin White,2,0.7,23,29,-0.8
Colton White\\whiteco03,Colton White,-13.5,-12.8,2,6,-2.2
Zach Whitecloud\\whiteza01,Zach Whitecloud,4.4,4.9,8,1,4.7
Justin Williams\\williju01,Justin Williams,3.5,1.6,3,13,0.3
Colin Wilson\\wilsoco01,Colin Wilson,8.1,9.2,1,3,1.4
Scott Wilson\\wilsosc01,Scott Wilson,1.6,0.5,5,0,-0.7
Tom Wilson\\wilsoto01,Tom Wilson,-0.5,-2.1,25,40,1.8
Luke Witkowski\\witkolu01,Luke Witkowski,-14.1,-13.5,2,2,-2.9
Christian Wolanin\\wolanch01,Christian Wolanin,-9.2,-6.8,0,2,0.4
Miles Wood\\woodmi01,Miles Wood,-2.9,-3.9,15,22,-8.1
Kailer Yamamoto\\yamamka01,Kailer Yamamoto,3.2,3.3,19,10,0.5
Keith Yandle\\yandlke01,Keith Yandle,-0.4,-1.2,25,66,-1.7
Alexander Yelesin\\yelesal01,Alexander Yelesin,-4.6,0.2,0,2,0.5
Danil Yurtaykin\\yurtada01,Danil Yurtaykin,8.3,8.7,2,0,-0.5
Pavel Zacha\\zachapa01,Pavel Zacha,-2.1,-1.4,35,31,-8.3
Filip Zadina\\zadinfi01,Filip Zadina,1.6,1,12,17,-1.5
Nikita Zadorov\\zadorni01,Nikita Zadorov,-2,-1.8,23,35,-3
Nikita Zaitsev\\zaitsni01,Nikita Zaitsev,-6.8,-7,20,44,-10.6
Travis Zajac\\zajactr01,Travis Zajac,0.2,-0.1,36,17,-6.1
Mika Zibanejad\\zibanmi01,Mika Zibanejad,4.5,3.9,42,43,-0.1
Mats Zuccarello\\zuccama01,Mats Zuccarello,-2.2,-2.3,33,17,2
Jason Zucker\\zuckeja01,Jason Zucker,0.3,-0.4,31,25,2.6
Valentin Zykov\\zykovva01,Valentin Zykov,-8.2,-12.1,5,12,-1.3