player,corsi_pct,fenwick_pct,tk,gv,exp_plus_minus,pdo
Justin Abdelkader,-1.9,0,10,18,-5.2,94.6
Pontus Aberg,-18.2,-22.4,1,2,-0.8,105.2
Vitaly Abramov,-14.7,-11.8,0,1,-0.3,104.2
Noel Acciari,-3.5,-2.5,32,21,-6.3,100.7
Andrew Agozzino,8,7.4,5,4,-0.6,105.2
Sebastian Aho,3.8,2.8,71,58,10,98.4
Karl Alzner,0.4,-1.8,0,1,0.6,93.8
Michael Amadio,1.8,1.6,31,25,2.4,96.0
Joey Anderson,-0.9,0.6,4,7,-0.1,102.3
Josh Anderson,-2.7,-3.7,9,12,-0.7,95.7
Michael Anderson,-6.1,-0.7,0,2,0.1,110.9
Jaret Anderson-Dolan,-2.8,-4.1,0,2,-1.6,94.1
Lias Andersson,-6.7,-5,8,4,-3.2,90.6
Rasmus Andersson,2.2,2.7,19,39,7.1,98.9
Andy Andreoff,-2.4,1.1,1,0,-0.8,93.4
Anthony Angello,-2.8,-2,1,0,-0.5,101.7
Artem Anisimov,-0.8,-2,19,16,-3.2,97.5
Mason Appleton,0.3,1.4,11,10,-2.3,95.9
Josh Archibald,-4.1,-2.5,24,11,-5.7,98.4
Joel Armia,-4.8,-5.5,47,27,3.4,99.2
Viktor Arvidsson,-0.7,-2.5,15,24,-5.7,100.1
Rasmus Asplund,-2.5,-3.1,5,7,-1.1,97.5
Zach Aston-Reese,0.2,-0.3,20,21,6.4,100.3
Andreas Athanasiou,-0.1,1.1,15,31,-8.5,90.7
Cam Atkinson,0.3,-0.2,26,21,2.2,99.9
Nicolas Aube-Kubel,-1.6,1,13,9,1.9,100.6
David Backes,0.2,1.9,5,9,1.9,97.6
Mikael Backlund,1.1,0.8,64,55,2.7,100.2
Nicklas Backstrom,2.6,3,34,42,6.1,98.8
Sven Baertschi,11.8,9.8,1,1,0.4,92.0
Josh Bailey,-0.6,-1.5,38,54,-3.4,98.7
Justin Bailey,-4.8,-6.6,0,1,-0.1,100.0
Rudolfs Balcers,3.4,2.6,7,5,-1.1,98.2
Ivan Barbashev,-4.9,-4.6,33,31,-5.8,101.2
Riley Barber,-4.2,-2.8,0,2,-0.5,96.9
Mark Barberio,-0.9,-1.6,6,13,0.5,102.2
Cole Bardreau,-6.3,-4.2,4,4,-0.6,93.3
Aleksander Barkov,3.6,2.5,51,52,3.2,99.7
Tyson Barrie,3.1,1.4,16,62,0.6,99.1
Mathew Barzal,7.8,8.3,70,103,7.5,100.6
Drake Batherson,1.1,-0.8,5,5,-3.2,93.3
Jay Beagle,-13.4,-11.3,14,7,-10.1,98.3
Ethan Bear,2.5,0.5,44,84,2.7,100.0
J.C. Beaudin,-5.3,-6.6,1,2,-1.9,95.0
Nicolas Beaudin,-15.4,-21.4,0,1,-0.3,109.1
Nathan Beaulieu,-4.4,-1.7,6,23,-1.7,105.2
Anthony Beauvillier,-0.3,-0.3,29,51,-0.4,98.5
Pierre-Edouard Bellemare,1,1.6,53,17,5.3,97.9
Kieffer Bellows,-8.4,-5.5,2,5,0.9,109.3
Emil Bemstrom,1.2,-1.1,10,16,1.1,96.1
Jamie Benn,2.7,3,52,56,7.7,99.8
Jordie Benn,-8.4,-7.3,7,17,-8.3,100.8
Sam Bennett,-1.1,-1.3,19,22,1.9,100.5
Matt Benning,0.2,1.2,12,19,-0.8,103.3
Tyler Benson,-1.6,0.3,2,3,-0.8,97.8
Patrice Bergeron,6.8,5.8,44,22,8.1,103.2
Lean Bergmann,-16.3,-16.2,3,0,-3.6,91.6
Tyler Bertuzzi,5.1,4.4,25,57,-3,98.3
Alex Biega,-0.7,-0.1,4,30,-8,98.6
Jake Bischoff,0.5,4.5,0,2,0,94.4
Clark Bishop,0.3,3.8,1,1,-1,84.2
Anthony Bitetto,-3.2,-1.4,16,22,-4.3,102.4
Anders Bjork,-1.7,-0.6,21,14,4.3,100.9
Oliver Bjorkstrand,5.1,5,32,27,11.7,101.0
Tobias Bjornfot,-19.6,-25.2,0,0,-1.3,78.9
Nick Bjugstad,-5.8,-3.4,3,5,0.2,100.6
Colin Blackwell,-0.2,2.7,6,7,0.8,103.6
Sammy Blais,-1,-0.7,12,18,3.2,99.4
Joseph Blandisi,-10,-11.5,8,1,-1.6,99.8
Joachim Blichfeld,-11.3,-6,2,0,-0.7,87.5
Anton Blidh,-6.2,-8,2,1,0.9,103.3
Teddy Blueger,-0.7,-2.7,29,22,-2,99.5
Mikkel Boedker,-4.2,-2.2,1,8,-2.4,97.8
Brock Boeser,6.7,7.2,20,22,5.2,100.5
Zach Bogosian,-1.2,-1.7,4,11,-1.8,100.9
Nick Bonino,-1.7,0.4,47,22,2.2,103.0
Adam Boqvist,0.5,1.1,10,26,-2.8,100.2
Jesper Boqvist,-0.3,-1.2,13,11,-3.2,95.1
Henrik Borgstr,-6.5,-10.3,3,1,-0.3,85.7
Mark Borowiecki,-4,-1,10,30,-4.4,100.3
Robert Bortuzzo,-0.7,-2.1,2,10,3.6,104.8
Gabriel Bourque,-8.2,-6.8,5,14,-3.5,100.5
Jay Bouwmeester,-7.3,-6.1,11,32,-9.5,102.2
Madison Bowey,-2.3,-2.9,14,45,-12.1,98.1
Johnny Boychuk,-1.9,-2.5,6,50,-8,99.4
Travis Boyd,2.9,2.1,7,6,0.6,107.3
Brian Boyle,-6.7,-5.2,16,13,-2.7,100.5
Tyler Bozak,-0.2,-0.8,29,20,5.4,100.1
Erik Brannstrom,1.5,1,5,20,0,97.2
Derick Brassard,-2.5,-2.4,26,40,-0.4,101.7
Jesper Bratt,2.7,3.7,18,24,-2.8,98.9
Justin Braun,-1.7,-2.3,10,31,2.7,98.5
TJ Brodie,3.6,2.8,34,52,3.2,101.3
Jonas Brodin,-1.2,0.8,14,16,6.2,101.7
Jonny Brodzinski,-2.1,2.6,0,0,-0.5,96.7
Adam Brooks,-6.6,-6.7,2,1,0.3,105.3
Troy Brouwer,-8.4,-9.8,1,2,-1.2,103.8
Connor Brown,0.3,1.6,52,40,0.9,99.5
Dustin Brown,-3.3,-3.4,28,35,-3.5,99.4
Josh Brown,-1.1,-0.8,10,24,-1.9,101.4
Logan Brown,-0.4,1,10,16,1.3,99.8
Patrick Brown,20,25,0,1,0.6,70.0
Pavel Buchnevich,6.6,7.1,38,64,10.4,99.7
Connor Bunnaman,-6.4,-5.2,1,4,1.8,108.6
Andre Burakovsky,2.3,0.6,27,33,2.4,103.3
Brent Burns,-1.4,-2.2,49,76,-7.6,98.4
Will Butcher,2.1,2.6,10,27,-1.6,99.1
Paul Byron,-0.4,-2,11,10,1.2,100.1
Nicholas Caamano,-4.7,-3.7,1,2,-1.5,103.4
Drake Caggiula,-0.2,0.1,19,5,-1.6,99.8
Matt Calvert,2.4,2.6,21,13,6.4,100.6
Kyle Capobianco,-2.9,-5.1,1,4,-0.5,98.7
Paul Carey,-30.9,-31.5,0,0,-0.4,
Brandon Carlo,0.2,-0.9,31,32,-1.1,102.0
John Carlson,0.3,0.6,42,80,1.6,102.4
Gabriel Carlsson,-3.5,-3.3,0,3,0.3,96.9
Lucas Carlsson,-5.5,-2.1,1,0,0.4,108.9
Ryan Carpenter,-2.2,-0.8,30,29,-5.4,98.2
Daniel Carr,-7.9,-8.1,8,1,-1.3,92.4
Connor Carrick,-4.8,-5.6,5,12,-2.7,100.4
Sam Carrick,9.2,12.1,1,5,0,91.7
Trevor Carrick,-15,-24.8,0,2,-0.3,100.0
Alexandre Carrier,18.6,19.1,0,0,1.5,109.1
William Carrier,-0.9,-0.5,22,8,9.1,99.1
Jeff Carter,-0.7,-0.9,13,20,0,94.5
Colby Cave,-3.2,0.3,3,1,-0.1,92.3
Cody Ceci,-4.1,-4.6,13,30,0.6,102.1
Peter Cehlarik,11.6,15.5,3,1,0.3,88.3
Erik Cernak,-2.7,-2,18,28,-1.3,101.5
Thomas Chabot,3.9,2,42,87,1.3,98.1
Michael Chaput,1.4,8.7,0,1,0.5,33.3
Zdeno Chara,-6.5,-5.6,26,52,-4.6,104.8
Ben Chiarot,-0.5,-0.1,18,86,11.9,98.9
Alex Chiasson,2.8,0.6,14,20,-0.5,101.2
Andrei Chibisov,-17.4,-10.8,0,0,-0.2,100.0
Filip Chlapik,4.8,6.6,8,6,-0.9,94.1
Dennis Cholowski,0.6,0.4,4,21,-1.9,93.6
Jakob Chychrun,3,4.2,27,52,1.7,99.9
Filip Chytil,0.6,-0.2,33,33,-1.7,99.5
Anthony Cirelli,0.8,1.4,53,24,9.9,105.4
Casey Cizikas,-0.4,0.1,38,28,3.3,102.5
Fredrik Claesson,-1.5,1,1,1,1.4,104.3
Kale Clague,-11.3,-7.3,0,1,-0.9,92.7
Kyle Clifford,-0.2,-0.2,11,17,2.4,97.6
Connor Clifton,-4.1,-5.7,12,7,-1.9,103.6
Cal Clutterbuck,-6,-4.4,12,21,-1.6,103.7
Braydon Coburn,0.2,-1.4,3,5,0.8,102.7
Andrew Cogliano,0.5,-0.5,24,20,-2.2,99.9
Ian Cole,0,2.4,18,37,6.1,102.6
Blake Coleman,2.5,2.7,48,21,-2.7,99.0
Blake Comeau,-1,-3.1,21,27,-3.1,97.9
J.T. Compher,-4.8,-4.7,22,21,0.7,103.2
Max Comtois,-6.2,-5.2,5,19,-3,99.8
Cory Conacher,-1.2,-1.9,5,1,-0.5,96.0
Kevin Connauton,-9.3,-10.3,0,0,0.3,90.5
Brett Connolly,3.5,3.9,28,22,-1.6,99.7
Kyle Connor,1,0.2,43,39,-8.5,101.1
Andrew Copp,2.2,1.2,38,27,-8.3,98.6
Nick Cousins,-0.6,0.5,29,21,8.8,98.1
Logan Couture,-0.9,-0.7,28,26,-3.6,99.6
Sean Couturier,7.5,6.5,40,36,9.5,102.2
Charlie Coyle,1,1.7,48,33,6.7,101.2
Sidney Crosby,4.3,4,26,25,6.4,97.3
Lawson Crouse,-3.2,-3.2,28,22,-5,100.8
Austin Czarnik,-5.5,-9.5,6,2,-0.8,104.4
Kirby Dach,-0.1,0.6,38,16,-1.1,100.7
Evgenii Dadonov,4.3,2.9,29,40,3.9,98.1
Rasmus Dahlin,4,2.1,16,42,-5.5,99.6
Carl Dahlstrom,1.2,2,4,14,-0.3,96.2
Michael Dal Colle,-4.6,-6.9,10,18,-5.7,98.9
Trevor Daley,-5.3,-4.6,5,21,-10.5,95.6
Phillip Danault,7,7.3,34,50,21.4,100.2
Marko Da,-5.2,-3.8,1,1,0.4,85.7
Brandon Davidson,-0.6,1.7,3,9,-1.5,95.2
Jonathan Davidsson,6.8,11.1,0,0,0.2,88.1
Calvin de Haan,-1.7,-0.2,9,29,-0.9,103.7
Jacob de La Rose,-3.6,-2.7,13,8,-0.3,101.8
Chase De Leo,-31.8,-26.1,0,0,-0.5,100.0
Jean-Sebastien Dea,-7.1,-12.7,0,0,-0.1,100.0
Tony DeAngelo,3,2.9,16,65,3.5,102.3
Alex DeBrincat,1.3,1.7,41,37,-3.1,99.5
Jake DeBrusk,1.4,-0.3,26,21,2.4,100.5
Danny DeKeyser,-7.1,-9.6,0,8,-2.3,108.5
Michael Del Zotto,-2.2,-2.8,9,33,-7.7,103.6
Dylan DeMelo,6.7,7.4,9,42,5.1,99.1
Jason Demers,-0.5,-1.9,15,32,-3.7,101.5
Travis Dermott,-2.3,-1.7,23,44,2.6,103.3
Nicolas Deslauriers,-4.9,-4.1,10,10,-5.2,101.0
Phillip Di Giuseppe,1.1,1.5,3,4,0.3,99.6
Thomas Di Pauli,-5.5,-5.2,0,0,-0.5,66.7
Jason Dickinson,-4.6,-4.1,47,29,-4.2,102.0
Brenden Dillon,2.7,2.5,16,26,-2.7,98.6
Christian Djoos,6.1,8.1,2,6,0.1,101.7
Noah Dobson,4.8,4.6,8,24,3.8,99.2
Max Domi,-1.9,-3.7,42,64,5.4,98.7
Ryan Donato,2,1.9,21,13,4,101.7
Joonas Donskoi,-4.3,-5.2,28,20,-6.4,102.5
Drew Doughty,-4.3,-5.3,15,82,-5.4,97.9
Nic Dowd,1.8,3.1,22,7,4.6,101.9
Justin Dowling,-0.8,0.5,15,9,0.2,98.2
Leon Draisaitl,0.6,-0.3,60,91,-1.4,101.5
Sheldon Dries,-14.7,-16.4,0,1,-1.1,89.5
Jonathan Drouin,-0.2,-1.4,12,11,2.8,95.4
Dillon Dube,-4.1,-3.5,17,16,0.9,102.0
Pierre-Luc Dubois,3,2.3,27,46,6.1,99.4
Matt Duchene,5.3,4.1,31,36,4.6,98.7
Anthony Duclair,-0.9,-1.8,18,46,-2,99.9
Matt Dumba,-0.8,-0.9,20,35,4.6,98.8
Gabriel Dumont,5.9,13.1,1,0,0.5,87.5
Brian Dumoulin,5.1,6.1,13,13,7.5,101.8
Vince Dunn,6.6,5,13,31,10.9,101.5
Christian Dvorak,4.2,3.9,20,23,7.3,101.5
Ryan Dzingel,-4.5,-3.9,15,19,-5,101.5
Cody Eakin,-5.6,-5.9,23,21,0,99.6
Jordan Eberle,8.2,8.6,34,37,7.9,100.3
Alexander Edler,0.5,1.1,9,43,-1.1,101.5
Joel Edmundson,-4.8,-5.1,23,45,-12.1,100.9
Nikolaj Ehlers,8.8,8.4,32,39,1.9,101.1
Christoffer Ehn,-5.3,-5.8,6,12,-6.7,93.7
Jack Eichel,4,3.6,44,67,-3.1,102.0
Aaron Ekblad,4.9,4.9,37,74,-1.1,100.8
Mattias Ekholm,-0.1,-0.7,51,50,-1.7,99.0
Oliver Ekman-Larsson,-0.6,-1.9,19,45,-6.2,100.6
Lars Eller,5.5,6,44,41,4.4,99.6
Ryan Ellis,2,3,24,36,5.2,102.8
Deryk Engelland,-3.2,-2.3,15,17,5.6,100.0
Andreas Englund,-1.9,-1.5,4,5,-3.2,92.7
Pierre Engvall,1.1,0.1,15,23,0.2,101.4
Tyler Ennis,2.7,1.5,26,19,0.1,99.9
Jonathan Ericsson,-2.1,0.1,1,20,-4.3,91.7
Loui Eriksson,0.4,-1.8,17,8,-2.9,100.8
Joel Eriksson Ek,-2.4,-2.5,19,18,5.3,101.1
Adam Erne,-1.9,-2.4,5,27,-2.3,93.9
Jake Evans,-9.5,-7.8,5,3,1.3,100.6
Robby Fabbri,1.4,-0.3,13,39,-9.4,96.7
Dante Fabbro,-0.5,-0.8,23,39,-5.6,98.0
Radek Faksa,-3.2,-3.8,34,27,-2.3,99.5
Oscar Fantenberg,-4.7,-4,7,11,-4.9,98.8
Joel Farabee,-2.3,-3.6,20,26,-2.4,102.1
Jesper Fast,1.1,2.2,24,32,0.8,102.5
Justin Faulk,-0.9,-0.4,24,39,2,99.4
Taylor Fedun,3.5,3.2,2,12,2.7,100.8
Martin Fehervary,-2,1,2,2,0.2,91.1
Micheal Ferland,-11.5,-11.2,2,1,-2.9,98.4
Mario Ferraro,-1.7,-1.9,15,20,-2.7,96.2
Kevin Fiala,3.1,2.8,33,35,2.6,99.3
Valtteri Filppula,-2.7,-3.6,17,43,-11.3,93.9
Christian Fischer,-5.5,-2.6,6,10,-0.6,100.6
Cale Fleury,-5.9,-6.5,5,31,-3.8,97.9
Haydn Fleury,0,-0.7,17,26,-1.3,99.3
Warren Foegele,0.2,0.7,39,30,8.7,100.0
Steven Fogarty,-5.4,-8,2,2,-0.7,92.9
Marcus Foligno,2.1,2.8,31,17,8.7,100.4
Nick Foligno,2.1,3.6,39,35,5.1,98.5
Christian Folin,0.5,-1,1,8,2.2,99.0
Derek Forbort,-6.5,-5.9,2,16,0.3,96.9
Filip Forsberg,3.6,1.8,58,45,0.3,99.0
Liam Foudy,11.2,10.3,1,0,0.8,107.1
Cam Fowler,4.9,5.2,21,31,3.9,98.9
Adam Fox,7.5,8.1,57,61,7.6,103.0
Trent Frederic,-37.1,-44.7,0,0,-0.5,
Mark Friedman,-19.7,-18.7,1,0,-2,105.4
Martin Frk,2.8,1.4,2,10,-0.5,98.4
Michael Frolik,-1.4,-1.9,32,28,-6.7,95.6
Morgan Frost,-0.4,-1.4,10,6,1.1,97.4
Sam Gagner,3.4,4.6,12,21,1.1,95.7
Alex Galchenyuk,-3.5,-4.4,5,20,-2.1,100.0
Brendan Gallagher,8.1,8.8,39,18,19.7,98.6
Dylan Gambrell,-3.8,-4.3,11,17,-2.8,98.6
Jake Gardiner,2,1.2,32,39,3.6,95.0
Rhett Gardner,-3.3,-2.3,1,3,-0.8,102.4
Conor Garland,3.8,5.1,30,27,5.2,100.4
Adam Gaudette,-1.9,-2.7,23,15,-8.2,101.1
Johnny Gaudreau,1.8,0.7,40,71,4.2,99.0
Brendan Gaunce,-26.9,-21.5,0,0,-0.3,150.0
Cameron Gaunce,0.7,3,0,0,0.5,108.1
Frederik Gauthier,-7.5,-6.6,7,13,-3.3,100.3
Julien Gauthier,-3.4,-5,3,7,-2.7,103.3
Vladislav Gavrikov,0.4,0.9,16,33,6.1,99.6
Morgan Geekie,-1.6,2.8,1,0,0.7,122.2
Nathan Gerbe,-1.2,2.7,4,12,0.6,95.5
Timothy Gettinger,3,15.5,0,0,0.5,111.1
Ryan Getzlaf,2.2,3.1,53,76,3.2,98.5
Brian Gibbons,-11.7,-11.6,8,7,-1.3,90.6
Dennis Gilbert,-7.6,-7.3,2,4,-7.6,99.0
John Gilmour,0.3,2,0,3,0.2,94.1
Mark Giordano,3.4,4.5,36,51,4.2,100.1
Samuel Girard,1.4,-0.2,38,39,4.4,100.6
Zemgus Girgensons,-0.7,0,13,11,-4.5,100.4
Claude Giroux,6.6,5.7,37,35,8.4,99.7
Cody Glass,-2.1,-3.2,18,17,-0.3,96.2
Luke Glendening,-5.2,-3.8,10,18,-12.4,94.5
Nikolay Goldobin,-32.6,-31.4,0,0,-0.5,100.0
Alex Goligoski,0.1,0.4,7,53,-2,100.6
Cody Goloubef,-4.9,-5,3,21,-3.6,100.4
Barclay Goodrow,1.3,2,44,23,-1.7,99.4
Shayne Gostisbehere,0.8,1.1,9,27,-2.3,100.0
Yanni Gourde,1.4,0.8,48,14,2.2,97.5
Michael Grabner,-8.3,-7,31,11,-3.1,98.4
Markus Granlund,2,2,11,7,0.5,98.2
Mikael Granlund,2.5,2.5,24,34,3.4,98.8
Derek Grant,-9.1,-8.5,20,11,-6,102.1
Tyler Graovac,-0.2,-4.4,1,2,-0.9,90.0
Kevin Gravel,-7.5,-5.8,0,1,0.2,100.0
Ryan Graves,-1,-0.4,19,40,4.2,105.4
Mike Green,-0.1,0.9,12,41,2.2,93.6
Andy Greene,-3.8,-3.1,16,41,-6.5,99.7
Jordan Greenway,2.1,2.4,41,30,7,100.5
Noah Gregor,-4.3,-7.1,6,7,-4.1,98.0
Rocco Grimaldi,1.4,1.7,27,20,3.6,101.6
Jordan Gross,-16.1,-20.3,1,2,-1.2,110.0
Carl Grundstrom,1.5,1.8,0,4,-0.7,101.9
Matt Grzelcyk,1.8,3.7,22,39,7.7,102.4
Radko Gudas,-1.2,-2.3,23,34,-2.3,101.6
Erik Gudbranson,0.8,1.6,0,33,-4.5,99.7
Jake Guentzel,5.2,7.6,21,12,14.1,100.4
Brendan Guhle,-3.6,-2.4,6,25,-2.6,97.7
Carl Gunnarsson,-3.6,-3.9,3,14,-2.1,103.0
Denis Gurianov,0.1,0.9,26,25,2.9,101.5
Nikita Gusev,4.2,3.7,22,40,-3.6,97.9
David Gustafsson,-20.2,-19.3,0,1,-4.4,101.7
Erik Gustafsson,0,-1,21,58,-7.3,100.8
Gaetan Haas,1.1,1.1,22,22,0.1,99.2
Brandon Hagel,-2.3,-6.6,1,0,0.3,97.5
Carl Hagelin,2.2,1.6,24,24,-2.8,101.8
Robert Hagg,-8.8,-7.8,6,31,-4.9,105.0
Nicolas Hague,2.9,0.8,13,10,5.3,97.9
Ron Hainsey,-2.1,-2.7,9,56,-5.8,101.7
Libor Hajek,-7,-6.1,8,17,-8.6,101.3
Jani Hakanpaa,4.3,2.3,0,1,-0.9,102.0
Micheal Haley,-8.6,-6.5,1,5,-1.8,89.9
Taylor Hall,1.5,1.2,41,52,4.9,98.4
Dan Hamhuis,-0.8,0.1,9,34,-4.5,100.0
Dougie Hamilton,4.5,6,22,40,12,102.6
Travis Hamonic,-2.4,-3,21,36,-4.4,99.8
Noah Hanifin,0.6,-0.9,38,63,-0.6,98.9
Joel Hanley,-2.4,-1.8,0,5,1.2,96.2
Jansen Harkins,-1.1,-2.3,7,7,-4.3,99.6
Scott Harrington,-2.4,-1.2,5,9,0.3,98.5
Ryan Hartman,3.5,3.9,34,14,7,100.1
Garnet Hathaway,1.4,1.9,21,16,7,100.5
Erik Haula,-3.7,-2.2,21,29,-3.8,101.2
Jayce Hawryluk,1.5,1,11,12,1.5,99.5
John Hayden,-10.1,-11.2,13,7,-5.7,102.1
Kevin Hayes,-1.9,-2.3,43,34,-1.4,98.5
Barrett Hayton,-0.5,-2,8,4,-1.3,102.6
Victor Hedman,0.7,2.1,47,40,6.1,104.5
Tim Heed,5.1,4.9,10,17,1.8,93.7
Danton Heinen,-3.2,-4.2,19,30,-2,100.5
Ville Heinola,-0.9,-1.9,3,15,-1.8,106.2
Miro Heiskanen,2,2,42,79,5.9,102.2
Darren Helm,2,2.5,24,30,-4.2,97.5
Adam Henrique,5.5,4.6,26,32,-0.5,98.9
Tomas Hertl,4,3.7,25,18,2,94.7
Joe Hicketts,-3.9,-0.5,2,3,-0.2,89.9
Matthew Highmore,-2.4,-4.8,15,9,-3.7,101.9
Vinnie Hinostroza,1.3,0.2,30,20,-2.8,99.7
Roope Hintz,0.1,0,23,34,2.6,100.7
Taro Hirose,-3.6,-2.6,6,20,-5.2,93.4
Nico Hischier,0.5,1.3,42,28,-3.8,98.4
Niklas Hjalmarsson,-6,-4.9,11,20,-4.7,99.3
Mike Hoffman,2.8,0.9,31,52,-3.6,99.6
Nick Holden,1.9,1.4,26,35,16.1,96.8
Justin Holl,-1,1.3,21,59,6.2,100.7
Korbinian Holzer,-8.5,-8.2,2,28,-9.7,100.5
Patric Hornqvist,-2.4,-1.3,12,8,-0.3,102.6
Bo Horvat,1.9,1.3,28,27,-2.5,98.1
Brett Howden,-7.8,-8.5,25,25,-10.1,99.3
Filip Hronek,1.6,0.6,18,76,-12.3,96.3
Jonathan Huberdeau,2.7,2,42,70,0.4,100.7
Charles Hudon,-6.1,-6.1,5,2,-1.4,89.7
Cameron Hughes,-5.2,10.6,0,0,-0.1,66.7
Jack Hughes,1.1,0.3,42,53,-4,95.9
Quinn Hughes,7.1,5.6,35,60,0.4,98.4
Brad Hunt,0.7,1.8,15,14,3.8,98.2
Dryden Hunt,-1.4,0.6,4,4,0.6,97.8
Ben Hutton,3.6,3,12,41,6.6,98.6
Zach Hyman,1.9,2.3,32,16,7.7,102.3
Alex Iafallo,-1.8,-1.3,18,11,-1.3,99.4
Matt Irwin,-2.2,-1,8,13,-5.7,94.6
Joshua Jacobs,-6.8,-3.1,1,0,0,108.3
Mark Jankowski,-3.6,-3.4,32,20,-3.5,95.7
Mattias Janmark,1,1.9,27,31,4,98.0
Calle Jarnkrok,0.7,0,19,11,-4.3,100.4
Christian Jaros,-2.6,-3.6,1,5,-1,102.5
Boone Jenner,-3,-2.8,24,28,-0.7,97.7
Nick Jensen,-1.7,-1.8,26,48,-0.4,99.6
Ryan Johansen,1.2,0.2,38,24,-5.1,99.6
Marcus Johansson,-0.4,-0.7,15,24,-1,98.0
Stephen Johns,-0.7,-2,5,11,-1.6,101.3
Adam Johnson,-3.9,-3.8,1,1,0.8,100.8
Erik Johnson,-2.5,-3.5,32,27,-1.8,101.5
Jack Johnson,-6.5,-8.6,15,23,-11,100.2
Luke Johnson,-13.5,-12.1,0,0,-1.3,84.2
Tyler Johnson,-0.8,-0.4,14,20,4.4,103.8
Andreas Johnsson,-0.5,-1.6,13,20,3.9,99.5
Ross Johnston,-5.3,-5.7,2,4,-1.7,103.2
Henri Jokiharju,0.8,1.3,7,30,-1.5,99.2
Caleb Jones,2.1,1,8,26,-1.2,99.8
Max Jones,3.3,1.9,19,32,-2.4,98.5
Seth Jones,1.7,0.2,29,37,2.3,100.6
Mathieu Joseph,-1.5,-1.9,17,12,0.6,98.6
Roman Josi,3.2,3,34,68,7.5,102.1
Tyson Jost,-0.1,-0.6,17,12,5.2,102.2
Tomas Jurco,1.7,2.1,6,2,-0.3,100.0
Nazem Kadri,0,-1.1,21,28,1.6,103.6
Dominik Kahun,-1.6,-2,18,9,0.4,102.2
Kaapo Kakko,-3.2,-5.9,35,21,-9.8,96.4
Vladislav Kamenev,-2.7,-2.6,18,7,-1.1,97.3
David Kampf,-1.7,-0.8,37,17,-6.6,98.1
Steven Kampfer,0.5,1,4,1,0.9,102.6
Evander Kane,0,0.9,45,51,-2.6,96.3
Patrick Kane,-0.5,-0.5,43,41,-6.9,103.4
Kasperi Kapanen,-0.4,-1.4,36,29,-5.4,100.3
Erik Karlsson,4.6,4.8,52,68,4,96.3
Melker Karlsson,-5.2,-5.7,26,11,-5.9,99.8
William Karlsson,0.9,0.6,54,37,10.9,99.7
David Kase,-8.3,-11.4,2,1,0,102.7
Ondrej Kase,4.5,4.1,41,30,1.2,97.8
Zack Kassian,1.2,0.6,26,45,3,101.0
Martin Kaut,2.4,0.2,2,0,-0.2,93.4
Duncan Keith,0.2,-0.6,42,74,-5.4,100.9
Clayton Keller,5.3,4.3,34,32,0.6,98.5
Joel Kellman,-5.3,-5.6,8,8,-0.6,99.3
Adrian Kempe,2.7,3.2,24,27,4.1,95.1
Michal Kempny,-2.7,-3.1,13,35,-5.6,104.0
Alexander Kerfoot,1.8,2.3,28,33,-3.5,99.1
Phil Kessel,3,1.1,19,41,0.5,97.3
Jujhar Khaira,-3.3,-3,15,36,-11.3,95.4
Alex Killorn,0.7,0,27,26,1.2,105.0
Joel Kiviranta,10.7,10.9,5,3,0.5,97.3
Oscar Klefbom,-1.5,-0.1,36,58,-3.3,99.4
John Klingberg,2.5,1.7,24,71,0.3,99.0
Nikolai Knyzhov,-32,-44.8,1,2,-0.8,
Slater Koekkoek,4.1,4.5,9,27,2.1,100.4
Mikko Koivu,0.6,1.1,29,13,6.9,100.7
Otto Koivula,-5.5,-6.8,2,3,-0.3,100.5
Keegan Kolesar,-26.6,-25.4,0,0,-0.3,100.0
Leo Komarov,-4.3,-5.6,13,16,-2.9,102.1
Travis Konecny,6.1,4.9,29,47,8.5,99.3
