player,corsi_pct,fenwick_pct,tk,gv,exp_plus_minus,pdo
Anze Kopitar,-0.2,-0.4,39,49,0.6,99.9
Egor Korshkov,15.9,5.8,1,0,-0.5,133.3
Klim Kostin,-8,-13.2,0,1,-0.4,107.7
Jesperi Kotkaniemi,-0.7,-2.9,14,21,-3.6,96.5
Ilya Kovalchuk,1.2,2.7,11,25,5.6,97.7
Chris Kreider,3.3,0.8,22,61,-1.5,103.8
David Krejci,0.1,-0.4,31,37,-0.8,103.1
Torey Krug,6.3,4.3,22,48,8.6,97.5
Dominik Kubalik,2.3,3.3,23,25,-1.8,101.0
Nikita Kucherov,6,6.6,30,59,9.8,104.2
Karson Kuhlman,3.1,4.4,2,5,2,101.2
Tom Kuhnhackl,-5.6,-4.5,4,11,-4.2,96.2
Dean Kukan,1.9,0.6,7,14,1.1,95.5
Brett Kulak,1.8,1.6,13,36,10.2,97.7
Dmitry Kulikov,1.3,1.6,16,55,-7.4,99.0
Luke Kunin,-5.4,-4.1,9,15,-2,98.1
Janne Kuokkanen,-5.1,-10.5,0,1,0.2,80.0
Sean Kuraly,-6.8,-6.2,28,27,-4.8,100.0
Evgeny Kuznetsov,-7.1,-8.6,22,45,-7.8,102.7
Oliver Kylington,-3.9,-3.3,8,29,-0.3,98.5
Jordan Kyrou,3,3.8,13,6,3.5,98.0
Joel L'Esperance,3.3,-6.2,1,2,-0.2,107.5
Kevin Labanc,6.3,5,33,33,2.4,92.6
Andrew Ladd,-9.2,-7.2,0,1,0.4,108.7
Paul Ladue,-2.1,-10.1,1,1,0,100.0
Sam Lafferty,-3.5,-3.5,17,12,-4.1,103.0
William Lagesson,-0.9,-2,0,7,-0.5,91.8
Patrik Laine,-0.7,-1.4,41,57,-10.1,102.8
Maxime Lajoie,13.9,9.6,0,0,0.3,98.9
Gabriel Landeskog,0.2,1.7,39,25,5.8,100.5
Dylan Larkin,7.1,6.3,43,81,0.8,98.4
Adam Larsson,0,1.1,16,35,-3.8,100.6
Jacob Larsson,-7.7,-8.5,6,31,-7.4,101.7
Johan Larsson,1.9,2.3,24,23,-2,102.2
Brian Lashoff,-0.6,1.8,0,2,0.8,103.5
Scott Laughton,-7.1,-6.7,22,21,0.3,104.1
Jeremy Lauzon,-4.8,-4.1,3,6,1.6,101.8
Curtis Lazar,-5.1,-3.4,13,10,-4.3,98.7
Nick Leddy,-2.8,-3.6,17,52,-6.9,101.7
Anders Lee,6.9,7.8,24,44,8.7,101.1
Artturi Lehkonen,-2,-3.4,30,22,6.7,99.2
Brendan Leipsic,1.2,2,8,24,4.2,99.9
Josh Leivo,3.2,0.7,11,15,1.1,98.9
Brendan Lemieux,-4.6,-2.5,15,30,-5.5,96.9
Otto Leskinen,-12.1,-20.4,1,5,-0.3,106.7
Kris Letang,2,0.7,31,80,3.6,99.1
Mark Letestu,-10.1,-5.5,0,1,-0.6,100.3
Maxim Letunov,14.8,17.2,2,1,0.3,94.4
Tyler Lewington,1.3,0.3,1,3,-0.8,93.5
Trevor Lewis,-0.4,0.8,11,14,-1.7,97.0
Jakob Lilja,-6.1,-6,9,8,-2.1,104.8
Timothy Liljegren,-6.1,-9.8,0,6,-1.7,89.5
Oskar Lindblom,3.3,4.3,15,13,3.3,100.5
Esa Lindell,-5.2,-6.1,31,62,-5,101.6
Ryan Lindgren,-0.9,-0.8,28,25,2.4,104.1
Anton Lindholm,-4.2,-3.6,0,0,0.7,105.6
Elias Lindholm,1.9,1.7,38,33,0.6,98.7
Hampus Lindholm,3.9,3.2,20,53,-5.7,97.6
Par Lindholm,-0.8,-0.6,14,13,4.1,104.0
Gustav Lindstrom,-0.2,1.6,3,7,-0.8,95.1
Bryan Little,10.1,10.1,2,2,-0.2,105.5
Blake Lizotte,2.3,3,22,21,8.2,96.8
Adam Lowry,-3.3,-2.8,31,11,-7.2,99.2
Milan Lucic,0.2,0.9,19,42,1.6,98.9
Matt Luff,-5,-4.3,4,4,-0.5,95.5
Isac Lundestrom,-3.5,-4.3,4,2,-1.3,99.9
Eetu Luostarinen,-1.2,-1.7,2,1,1,91.5
Joona Luoto,-16.2,-11.9,3,5,-3.8,94.3
Ilya Lyubushkin,1.2,1.3,13,20,6.7,101.7
Olli Maatta,0.4,0.9,22,57,-3.5,100.1
Kurtis MacDermid,-1,-1.9,5,26,-3.8,95.7
Mackenzie MacEachern,2.1,1.8,14,11,1.4,101.5
Zack MacEwen,-4.2,-3,4,8,-2.2,111.5
Ryan MacInnis,-5.3,-3.8,3,2,1,101.9
Nathan MacKinnon,3.2,3.9,38,53,11,101.3
Josh Mahura,1.5,1.9,2,5,-0.2,98.4
Cale Makar,2.2,2.3,34,40,9,101.3
Beck Malenstyn,6.1,-0.5,1,0,-0.3,90.0
Denis Malgin,3.6,1.9,26,17,-1.6,94.3
Evgeni Malkin,3.4,4.8,70,69,13.2,100.0
Andrew Mangiapane,4,4.8,38,29,5,100.4
Brandon Manning,-2,2.2,1,8,-1.1,94.6
Josh Manson,1.6,1.3,21,41,-2.9,97.5
Anthony Mantha,10.9,11.6,22,30,9.8,97.0
Brad Marchand,7.3,7.4,43,71,9.5,102.2
Jonathan Marchessault,0.7,-0.8,37,48,10.6,99.1
Mason Marchment,-15.6,-16.3,1,1,-0.3,105.2
Martin Marincin,-0.5,0.6,9,22,-1.5,98.4
John Marino,-0.8,-0.3,37,42,3.7,103.2
Patrick Marleau,-1.6,-1.1,29,15,-2.5,99.9
Mitchell Marner,2.3,3.6,64,71,7.8,100.7
Pat Maroon,-1.2,-0.8,14,17,4.3,102.0
Matt Martin,-3.6,-5,11,17,-2.9,100.6
Alec Martinez,-5.2,-3.4,14,32,2.1,97.7
Jordan Martinook,-0.9,-1,24,19,-2.2,97.6
Mike Matheson,-0.1,-0.6,41,54,-7.5,99.5
Stefan Matteau,-1.8,0.1,2,1,-0.3,99.6
Auston Matthews,3.2,3.8,78,48,15.5,101.5
Scott Mayfield,0.9,-0.2,21,70,0.6,101.4
Gerald Mayhew,0.2,-6.1,4,2,-0.8,108.2
Charlie McAvoy,0.4,1.3,37,68,7.9,102.5
Jake McCabe,0.6,1.8,19,21,-3,97.8
Jared McCann,-1.2,-0.4,33,29,1.6,101.0
Connor McDavid,1,-0.1,53,75,2.6,100.7
Ryan McDonagh,-3.7,-3.1,25,32,-1.4,102.2
Brock McGinn,-2.9,-3.3,19,10,-2.8,97.7
Dylan McIlrath,-3.4,-5.9,4,8,-3.1,93.9
Greg McKegg,-7,-6.8,14,13,-4.5,98.8
Michael McLeod,-2.6,-0.8,4,0,0.5,107.5
Brayden McNabb,-3.5,-3.1,32,32,8.1,99.1
Jayson Megna,-3.4,-4.5,0,1,-0.8,98.5
Timo Meier,3.8,4.3,39,31,3.8,95.1
Brennan Menell,16,12.2,2,0,0.2,100.5
Nicholas Merkley,11.3,17.6,2,2,0.1,97.8
Dakota Mermis,4.7,5.7,1,7,1.9,107.5
Jonathon Merrill,-1.4,0.2,14,27,8.5,100.9
Victor Mete,-2.4,-2.3,8,35,2.6,101.1
Jacob Middleton,-1,0.6,1,1,1.4,92.0
Ilya Mikheyev,1.9,2.4,24,14,-0.4,101.3
Niko Mikkola,7.3,9,0,1,0.6,104.7
Sonny Milano,-0.9,-0.7,22,30,2.6,97.9
Colin Miller,1,0.1,9,29,-6.1,98.8
J.T. Miller,8.5,8.6,52,36,11,100.4
Casey Mittelstadt,-6,-6.4,6,9,-4.7,99.7
Sean Monahan,-0.1,-1.3,43,36,1.8,99.0
Brandon Montour,-2.8,-2.9,12,27,-7.2,103.6
John Moore,-0.7,0.2,2,7,2.3,98.9
Trevor Moore,-4.4,-4.4,21,20,-1.4,98.8
Samuel Morin,-18.2,-22.9,1,2,-1.4,90.9
Josh Morrissey,0,-1.9,22,46,-13.8,101.4
Tyler Motte,-10.2,-9,16,9,-8.8,98.6
Mirco Mueller,-2.5,-2.3,9,27,-7.3,98.5
Connor Murphy,0.9,1.8,17,44,-3.2,100.2
Ryan Murray,-2.7,-2.8,6,15,0.4,96.9
Jake Muzzin,0.9,3.2,24,63,5.1,100.5
Philippe Myers,1,0.8,21,32,3.9,104.4
Tyler Myers,0.5,0,42,41,-3.9,98.7
Vladislav Namestnikov,-3.2,-2.5,25,28,-4.1,99.0
Riley Nash,-4,-3.1,25,10,1.6,101.7
James Neal,3.7,3,24,29,-0.4,97.5
Martin Necas,-2.2,-1.4,23,36,-3.7,99.3
Brock Nelson,-1.7,-2,26,52,-0.7,102.6
Patrik Nemeth,3.5,3.6,10,54,-5.5,98.5
Aaron Ness,0.3,1.3,1,8,1.2,99.6
Valeri Nichushkin,5.3,4.8,38,18,11,104.6
Nino Niederreiter,3.5,3.3,35,42,6.7,98.3
Frans Nielsen,-1.7,-0.8,11,15,-7.2,96.0
Matthew Nieto,0.1,-0.3,19,17,1.8,100.7
Boo Nieves,-5.9,-11.2,1,0,-0.3,128.6
Sami Niku,-7.6,-8.2,2,11,-4.5,100.4
Matt Niskanen,2.5,3.1,14,56,8.5,99.7
Stefan Noesen,-0.3,0,16,8,2.3,99.7
Joakim Nordstrom,-9.3,-9.2,12,10,-4.7,97.5
Joshua Norris,-9.6,-10.3,1,0,-1.2,113.3
Tomas Nosek,-1.6,-1.3,22,16,8.4,98.9
Ryan Nugent-Hopkins,-0.2,0,54,39,-2.7,102.4
Darnell Nurse,0.6,-1.1,26,54,-1.7,100.4
Markus Nutivaara,0.7,0.8,6,13,0,100.0
Joakim Nygard,-2.9,-1.7,14,10,4.6,101.1
Alexander Nylander,0.9,0.5,25,23,-1.6,99.9
William Nylander,4.1,3.1,42,41,6.5,98.8
Gustav Nyquist,-1.7,-2.4,27,41,1.3,101.5
Logan O'Connor,4.9,7,5,0,0.3,97.1
Ryan O'Reilly,3.1,2.4,69,22,-3,101.5
Jordan Oesterle,-0.7,-0.1,11,37,-1.1,98.4
Kyle Okposo,2.9,3.9,15,13,0.7,99.6
Jamie Oleksiak,4.6,4.6,24,46,7.5,97.8
Mathieu Olivier,-8,-4.9,0,3,0.2,102.6
Gustav Olofsson,-28.3,-29.9,0,1,-1,75.0
Victor Olofsson,0.5,0.2,12,26,-2.1,100.9
Dmitry Orlov,2.1,1.8,49,65,1.3,100.0
T.J. Oshie,-1.9,-0.5,42,45,-1.1,101.6
Xavier Ouellet,-2.2,-3.4,1,4,0.6,100.6
Alex Ovechkin,1.5,-0.1,28,48,2.1,99.1
Max Pacioretty,6.2,7.7,32,55,27.3,99.4
Jean-Gabriel Pageau,-0.4,1.4,33,32,0.4,98.3
Ondrej Palat,1.6,1.7,41,34,5.6,104.6
Kyle Palmieri,2.6,3.7,29,28,-0.3,101.8
Artemi Panarin,6.3,7,56,82,10,105.2
Richard Panik,2.5,1.3,21,29,-1.3,104.7
Cedric Paquette,-5.3,-5.5,17,9,-4.2,99.4
Colton Parayko,-2,-1,33,41,-2.5,101.1
Zach Parise,-0.7,-1.2,21,22,-0.4,99.3
David Pastrnak,5.8,4.7,49,88,8.5,103.1
Greg Pateryn,-9.3,-8.3,3,6,-0.1,103.5
Nick Paul,-2.7,-1.6,27,19,-3.1,100.6
Joe Pavelski,2.8,2.3,38,27,6.5,102.1
Tanner Pearson,0.3,-0.8,37,33,-7.5,99.6
Matthew Peca,-2.3,-3,0,1,-0.5,95.3
Andrew Peeke,-0.2,-0.3,3,8,1.6,99.9
Adam Pelech,-3.5,-3.2,32,48,-3.7,101.1
Brendan Perlini,-5,-6.6,7,8,-9,94.1
Mathieu Perreault,2.4,2,17,11,-2,97.4
David Perron,4.2,3.8,39,35,-0.8,99.6
Corey Perry,-3.5,-3.1,17,26,0.8,100.2
Joel Persson,1.1,0.6,2,8,-0.3,101.5
Brett Pesce,-2.2,-3.2,42,39,0.3,100.4
Nic Petan,1.3,4,4,2,0.2,96.3
Jeff Petry,3.8,3.5,30,88,15.3,96.1
Elias Pettersson,9.5,9.8,36,33,12.1,101.8
Marcus Pettersson,1.8,2.5,17,38,7,100.6
Alex Pietrangelo,3.9,3.9,43,45,4.6,100.3
Lawrence Pilut,-8.2,-8.4,2,4,-1.2,96.8
Neal Pionk,4.1,4,31,62,-6.4,100.2
Brandon Pirri,-11,-11.7,8,4,-0.7,98.1
Tyler Pitlick,-6.3,-5,28,15,-0.4,104.0
Ryan Poehling,-4,-2.8,7,8,-1.6,97.4
Austin Poganski,-37.7,-39.8,0,0,-0.3,100.0
Brayden Point,3.2,4,30,19,8.7,103.9
Roman Polak,-7.4,-5.9,4,22,-2.1,97.9
Tucker Poolman,-2.6,-3.8,14,46,-12.9,101.6
Derrick Pouliot,15.6,20,0,1,0,66.7
Nikolai Prokhorkin,0.1,-2.4,19,14,-4.8,98.0
Dalton Prout,1.8,4.6,2,0,-0.6,100.0
Ivan Provorov,1.9,1.7,16,67,6.7,100.5
Ryan Pulock,-2.9,-0.9,15,64,-0.2,101.5
Mark Pysyk,-6.4,-6.4,26,15,-5.8,101.9
John Quenneville,0.1,0.2,2,5,-1.6,100.3
Alan Quine,1.8,2.2,2,1,-0.2,97.3
Gage Quinney,8.4,9.3,0,0,0.2,85.4
Lukas Radil,-3.2,-5.6,4,4,-1.7,96.7
Alexander Radulov,4,4.8,26,44,8.7,101.8
Michael Raffl,-2.8,-2.2,19,23,0.4,99.1
Rickard Rakell,3.1,3.2,30,42,1.9,98.3
Mikko Rantanen,2.7,3.1,34,16,2.1,98.9
Victor Rask,4.4,3.8,13,5,3.5,102.6
Ryan Reaves,-1.2,-0.9,17,7,6.3,98.2
Mike Reilly,2.3,2.8,9,39,4.4,98.0
Sam Reinhart,4,3.3,21,33,-5.5,99.1
Anthony Richard,-5,-3,0,0,-0.4,75.0
Brad Richardson,-7.4,-6.5,12,18,-6.2,100.4
Tobias Rieder,-2.8,-1.6,17,8,-2.4,96.0
Morgan Rielly,-2,-2.8,17,42,0.6,100.7
Juuso Riikola,3.3,4.1,8,16,3.6,99.9
Zac Rinaldo,-7,-6.7,5,5,-3.3,100.2
Rasmus Ristolainen,-4.2,-4.3,17,24,-7.4,101.6
Brett Ritchie,1.3,0.3,3,4,-2.1,99.6
Nick Ritchie,5,6.6,11,20,-0.7,99.9
Jason Robertson,8.6,2.7,1,0,0.3,101.3
Buddy Robinson,-2.8,3.2,2,1,1,100.0
Eric Robinson,4.1,4.1,13,11,6.3,102.9
Evan Rodrigues,-0.8,-1,14,13,0.1,96.7
Kevin Rooney,-3.2,-4.2,17,13,-2.5,104.4
Calle Rosen,-0.1,-1.5,2,8,-1,99.1
Jack Roslovic,3.4,2.4,24,38,-7.7,101.5
Antoine Roussel,0.1,1.3,7,13,-5,101.8
Carter Rowney,-7.6,-6.9,24,26,-7.1,102.7
Matt Roy,4.3,5.7,7,43,9.8,100.9
Nicolas Roy,5.2,4.7,10,6,6.7,97.1
German Rubtsov,-25.1,-25.9,1,1,-0.4,90.9
Chad Ruhwedel,-1.1,-1.1,7,17,2,101.5
Kris Russell,-4.9,-2.9,31,38,-5.2,100.3
Patrick Russell,-2.5,-1.3,9,13,-2.4,94.6
Bryan Rust,0.2,1.3,29,37,10.1,102.2
Jan Rutta,1.3,-0.2,2,8,5,102.6
Bobby Ryan,4.8,2.7,12,18,-0.6,102.2
Derek Ryan,-1.8,-0.8,34,26,-0.1,102.5
Joakim Ryan,-3.2,-1.3,6,28,1.4,96.1
Brandon Saad,3.5,3,40,25,4.6,99.8
Aleksi Saarela,-0.1,6.6,6,3,-1.3,102.5
Scott Sabourin,-5.5,-4.1,5,6,-4,96.7
Miikka Salomaki,-8.3,-4.8,1,3,0.2,109.5
Rasmus Sandin,4,0.5,2,15,-1.8,96.5
Zach Sanford,1.8,2,18,19,2.2,102.3
Travis Sanheim,1,0.5,22,53,5.6,99.7
Steven Santini,-9,-6.6,0,0,0.2,114.3
Ashton Sautner,-11.9,-38.3,0,0,-0.3,100.0
David Savard,-3.3,-1.4,18,43,5.9,99.6
Luca Sbisa,-3.1,-2,4,26,-6.8,100.8
Marco Scandella,-0.3,0.8,18,49,5.5,102.6
Colton Sceviour,-6.8,-4.2,26,35,-5.8,100.8
Tim Schaller,-10.7,-10.1,14,9,-8.3,95.7
Mark Scheifele,0.3,-0.3,57,46,-8.1,101.1
Brayden Schenn,0.1,0.1,26,39,2.1,100.7
Luke Schenn,-8,-8.2,5,10,-3,95.2
Nick Schmaltz,2.5,2.2,52,27,-1.6,100.7
Nate Schmidt,-3.5,-4,33,39,9.8,100.8
Justin Schultz,-0.9,0.8,6,18,2.7,96.4
Jaden Schwartz,2.8,2.5,50,29,2.8,100.4
Brent Seabrook,-6,-5.6,3,27,-7.5,101.9
Nick Seeler,-9.3,-8.5,1,7,-3.1,93.7
Tyler Seguin,1.2,1.1,34,52,4.7,99.9
Andrej Sekera,-2.7,-1.1,8,50,0.4,101.9
Brett Seney,-2.5,-10,1,3,-0.5,85.7
Zachary Senyshyn,4.7,8.3,1,1,0.9,109.5
Mikhail Sergachev,1.3,0.4,18,39,5.7,101.5
Damon Severson,2.3,2.2,35,73,-6.7,97.4
Michael Sgarbossa,-6.5,-6.4,2,1,-0.6,100.0
Kevin Shattenkirk,2.5,2.2,32,34,9,103.6
Andrew Shaw,3.7,1.5,12,15,1.5,100.1
Logan Shaw,-12.6,-9.6,2,5,-4,102.0
Riley Sheahan,-5,-3.9,36,25,-3.9,97.0
Conor Sheary,0.3,-0.2,19,18,1.2,98.7
Kiefer Sherwood,-4.6,-5.7,4,7,-3.9,102.9
Kole Sherwood,10.1,10.9,2,0,0.3,100.0
Devin Shore,-2.8,-2.5,12,8,-6.4,97.4
Nick Shore,-7.8,-6.5,14,16,-5.1,101.7
Jonas Siegenthaler,-2.6,-1.2,13,32,1.5,101.4
Dylan Sikura,-2.2,-1,2,0,-2.2,102.5
Jakob Silfverberg,2,1.1,40,32,-3.3,99.9
Radim Simek,-6.2,-7.5,20,36,-6.2,98.1
Wayne Simmonds,0.9,1.3,27,18,-1.3,97.7
Dominik Simon,3.1,2.7,41,31,3.4,97.2
Colton Sissons,-6.7,-4.4,14,25,-4.2,100.0
Jeff Skinner,-0.2,-0.6,28,24,-1.4,97.1
Brady Skjei,-1.6,-2.8,36,55,-7.9,98.6
Jaccob Slavin,1.7,3.2,81,49,18,101.4
Brendan Smith,-4,-2.9,18,24,-7.8,95.5
Craig Smith,5.2,5.8,26,26,8,103.1
Dalton Smith,47.8,48.2,0,0,0.1,
Gemel Smith,-6.3,2,1,0,-0.6,102.4
Givani Smith,0.2,2.2,2,6,-0.7,98.2
Reilly Smith,-1.5,-3,58,41,7.4,101.2
Zack Smith,-4.1,-5.9,21,14,-5.7,102.3
Vladimir Sobotka,-4.4,-3.8,3,3,-2.3,104.1
Carl Soderberg,-2.6,-1.8,28,24,-5.5,102.2
Marcus Sorensen,-1.9,-2.6,28,18,-3.8,97.5
Carson Soucy,-3.6,-2.8,17,16,1,105.1
Jason Spezza,-1.2,-1.3,20,33,-0.2,100.4
Daniel Sprong,7.6,9,1,0,0.4,94.8
Jared Spurgeon,3.9,2.7,10,23,10.3,99.8
Eric Staal,-0.6,-2.4,25,46,-0.7,100.1
Jordan Staal,2.1,1.9,30,41,6.3,99.8
Marc Staal,-5.4,-5,19,34,-5,102.1
Steven Stamkos,-0.8,-1.6,24,33,6.1,103.0
Paul Stastny,2.6,2.8,41,18,16.4,98.2
Troy Stecher,0.4,0.3,16,25,-3.4,102.2
Sam Steel,1.2,-0.1,25,37,-8.9,98.7
Alexander Steen,-3.2,-2.6,16,12,1.8,101.9
Kevin Stenlund,1,-0.2,6,9,1.5,100.4
Derek Stepan,1.7,0.8,38,28,-3.1,99.3
Mitchell Stephens,1.2,1,6,4,1.6,95.2
Chandler Stephenson,0.1,1.5,37,22,10.6,103.9
Chris Stewart,-18.2,-16.9,3,1,-4.5,96.9
Riley Stillman,-3.9,-3.4,13,28,-5.4,99.5
Mark Stone,5.3,6.5,78,38,24.5,99.5
Michael Stone,-7.7,-7.2,6,9,-5.1,99.3
Anton Stralman,-3.7,-3.2,40,48,-6.6,99.0
Ben Street,-14.1,-17.4,0,0,-0.8,116.7
Dylan Strome,1.8,1.8,30,26,-5.4,102.0
Ryan Strome,3.2,3.9,27,54,10.1,104.0
Jack Studnicka,6.3,8.5,0,3,0.5,118.2
Nico Sturm,2.7,4.2,1,1,-0.1,106.7
P.K. Subban,1.9,2.1,19,65,-7.5,97.6
C.J. Suess,-18.6,-19.8,0,0,-0.5,
Oskar Sundqvist,-5.6,-4.5,36,11,-2.2,101.6
Antti Suomela,-2.9,-3.2,6,4,1.4,105.5
Ryan Suter,1.1,-1.5,19,27,2.5,100.3
Brandon Sutter,-6.5,-5.4,15,9,-4.2,101.5
Nick Suzuki,-1.6,-1.9,31,37,0.3,97.5
Andrei Svechnikov,3.1,3.1,29,66,11.1,100.0
Evgeny Svechnikov,-1.6,-1.5,0,3,0.7,94.7
Jordan Szwarz,-14.8,2.3,0,0,-0.1,100.0
Brandon Tanev,-1.8,-3.3,33,37,-4.9,99.1
Christopher Tanev,-3.3,-2.6,20,45,-10.4,102.2
Vladimir Tarasenko,4.4,5.1,3,5,0.5,97.6
Tomas Tatar,8.6,8.2,31,29,17.5,97.7
John Tavares,1.4,0.8,35,47,4.2,98.1
Matt Tennyson,-2,-2.3,2,8,0,100.9
Teuvo Teravainen,5.1,4.3,44,44,10.5,100.6
Troy Terry,1.3,1.5,31,19,-1.2,97.7
Alexandre Texier,1,0.2,16,12,0.4,100.8
Shea Theodore,5.7,4.9,55,54,27.7,98.9
Robert Thomas,0.5,-0.7,46,30,8.6,101.5
Nate Thompson,-8.6,-6.9,25,33,-1.3,98.8
Tage Thompson,1.5,7.6,1,0,0,100.0
Joe Thornton,3.4,3.3,55,30,-3.3,94.8
Calvin Thurkauf,-7.5,-11.1,0,0,-0.2,100.0
Chris Tierney,-0.7,-1.6,32,42,-5.6,100.0
Dmytro Timashov,-5.2,-5.4,5,7,-2.8,102.6
Conor Timmins,12.7,17.9,1,0,0.3,114.3
Jarred Tinordi,-6.4,-6.3,1,18,-5,101.3
Brady Tkachuk,4.1,4,35,40,6.4,98.1
Matthew Tkachuk,4.3,3.7,40,86,7.6,99.2
Devon Toews,6.1,5.5,32,57,11.5,100.0
Jonathan Toews,2.2,1.1,58,40,-1.6,101.5
Tyler Toffoli,4.6,3.9,35,34,9.5,97.6
Dominic Toninato,-5,-4.5,17,13,-3.1,102.7
Yakov Trenin,1,2.2,7,3,-0.1,100.2
Vincent Trocheck,4.2,3.9,51,64,2.6,97.4
Zach Trotman,0.1,1.8,0,6,-0.7,96.0
Jacob Trouba,-2.5,-3,43,69,-7.4,99.0
Alexander True,3.7,3.2,2,5,1.6,100.9
Alex Tuch,-3,-3.8,27,27,3,95.7
Kyle Turris,0.4,-1.7,21,29,-6.3,97.9
Carsen Twarynski,-9.8,-8.3,6,0,-1.7,96.2
T.J. Tynan,-2.6,-0.8,5,0,-1.4,97.9
Urho Vaakanainen,-9.7,-14.3,1,3,-0.7,109.6
James van Riemsdyk,1.6,3,17,16,7.9,101.0
Trevor van Riemsdyk,-1.1,-2.1,13,17,-0.3,97.1
Sami Vatanen,0,-1.3,14,24,-4.4,97.6
Frank Vatrano,1.2,1.2,32,18,-2,97.8
Lukas Vejdemo,4.1,5.3,2,2,0.8,91.9
Carter Verhaeghe,2.1,2.3,19,11,2.3,95.8
Max Veronneau,12,13.5,0,1,-0.4,81.8
Jimmy Vesey,0,0.4,26,16,-3.2,103.0
Gabriel Vilardi,-0.2,-1.6,1,0,-1.1,101.4
Jake Virtanen,0.4,1.6,37,31,-4.9,99.3
Marc-Edouard Vlasic,-1.6,-0.6,18,40,-4.9,98.5
Alexander Volkov,-3.5,-8.7,4,2,-0.8,86.0
Jakub Voracek,3.2,2.2,28,30,5.3,101.8
Mikhail Vorobyev,-6.1,-6.3,5,4,-4.2,99.8
Jakub Vrana,-1.1,-0.1,31,42,0.2,101.5
Austin Wagner,2.3,2.7,20,21,6.2,97.2
Chris Wagner,-6.9,-6,16,21,-1.5,98.4
Oliver Wahlstrom,0.7,3.6,1,5,0.5,97.2
Nathan Walker,15.3,10.8,0,1,0.3,92.9
Sean Walker,2.7,1.7,25,65,0.6,96.0
Lucas Wallmark,-3.8,-3,22,17,-0.8,99.0
Jake Walman,13.3,3.2,0,0,0.3,133.3
Austin Watson,-12.3,-10.2,18,20,-9,97.7
Jordan Weal,1.6,2.1,22,12,4.3,96.7
Shea Weber,0,1.3,18,79,11.3,99.3
Yannick Weber,-4.4,-5,11,11,-5.8,100.9
Anton Wedin,-2.8,0.9,1,0,-0.3,108.3
MacKenzie Weegar,2.2,3.6,25,38,3.1,100.2
Dale Weise,-9.7,-8.1,8,12,0.9,100.3
Alex Wennberg,1.7,1.5,20,25,0.8,98.0
Zach Werenski,2.4,1.5,32,47,3.6,100.8
Blake Wheeler,4.9,6.3,37,46,1.7,99.6
Colin White,2,0.7,23,29,-0.8,98.6
Colton White,-13.5,-12.8,2,6,-2.2,101.7
Zach Whitecloud,4.4,4.9,8,1,4.7,100.8
Justin Williams,3.5,1.6,3,13,0.3,100.1
Colin Wilson,8.1,9.2,1,3,1.4,111.1
Scott Wilson,1.6,0.5,5,0,-0.7,105.6
Tom Wilson,-0.5,-2.1,25,40,1.8,98.8
Luke Witkowski,-14.1,-13.5,2,2,-2.9,98.4
Christian Wolanin,-9.2,-6.8,0,2,0.4,102.1
Miles Wood,-2.9,-3.9,15,22,-8.1,98.0
Kailer Yamamoto,3.2,3.3,19,10,0.5,106.8
Keith Yandle,-0.4,-1.2,25,66,-1.7,100.9
Alexander Yelesin,-4.6,0.2,0,2,0.5,96.7
Danil Yurtaykin,8.3,8.7,2,0,-0.5,92.5
Pavel Zacha,-2.1,-1.4,35,31,-8.3,98.6
Filip Zadina,1.6,1,12,17,-1.5,95.9
Nikita Zadorov,-2,-1.8,23,35,-3,101.4
Nikita Zaitsev,-6.8,-7,20,44,-10.6,99.0
Travis Zajac,0.2,-0.1,36,17,-6.1,97.8
Mika Zibanejad,4.5,3.9,42,43,-0.1,101.5
Mats Zuccarello,-2.2,-2.3,33,17,2,99.5
Jason Zucker,0.3,-0.4,31,25,2.6,100.2
Valentin Zykov,-8.2,-12.1,5,12,-1.3,99.8